Date,1day,2day,3day
12-Nov,3.5646,3.6499,3.7355
13-Nov,3.395,3.4798,3.5649
14-Nov,3.2264,3.3107,3.3953
15-Nov,3.1294,3.1779,3.2503
16-Nov,2.9365,3.033,3.0974
17-Nov,2.7467,2.8416,2.9375
18-Nov,2.56,2.6534,2.7477
19-Nov,2.3764,2.4682,2.561
20-Nov,2.1959,2.2862,2.3774
21-Nov,2.0185,2.1072,2.1969
22-Nov,1.8442,1.9314,2.0195
23-Nov,1.673,1.7586,1.8452
24-Nov,1.5049,1.589,1.674
25-Nov,1.3399,1.4224,1.5059
26-Nov,1.178,1.259,1.3409
27-Nov,1.0192,1.0986,1.179
28-Nov,0.8635,0.9414,1.0202
29-Nov,0.7109,0.7872,0.8645
30-Nov,0.5614,0.6362,0.7119
1-Dec,0.415,0.4882,0.5624
2-Dec,0.2717,0.3433,0.416
3-Dec,0.1315,0.2016,0.2727
4-Dec,-0.0056,0.063,0.1325
5-Dec,-0.1396,-0.0726,-0.0046
6-Dec,-0.2705,-0.2051,-0.1386
7-Dec,-0.3983,-0.3344,-0.2695
8-Dec,-0.523,-0.4607,-0.3973
9-Dec,-0.6446,-0.5838,-0.522
10-Dec,-0.7631,-0.7039,-0.6436
11-Dec,-0.8785,-0.8208,-0.7621
12-Dec,-0.9908,-0.9347,-0.8775
13-Dec,-1.1,-1.0454,-0.9898
14-Dec,-1.2061,-1.1531,-1.099
15-Dec,-1.2843,-1.2452,-1.1968
16-Dec,-1.1091,-1.1967,-1.1998
17-Dec,-1.1501,-1.1296,-1.1811
18-Dec,-1.1875,-1.1688,-1.1489
19-Dec,-1.2213,-1.2044,-1.1863
20-Dec,-1.2515,-1.2364,-1.2201
21-Dec,-1.2781,-1.2648,-1.2503
22-Dec,-1.3011,-1.2896,-1.2769
23-Dec,-1.3205,-1.3108,-1.2999
24-Dec,-1.3363,-1.3284,-1.3193
25-Dec,-1.3485,-1.3424,-1.3351
26-Dec,-1.3571,-1.3528,-1.3473
27-Dec,-1.3621,-1.3596,-1.3559
28-Dec,-1.3635,-1.3628,-1.3609
29-Dec,-1.3613,-1.3624,-1.3623
30-Dec,-1.3555,-1.3584,-1.3601
31-Dec,-1.3461,-1.3508,-1.3543
1-Jan,-1.3331,-1.3396,-1.3449
2-Jan,-1.3165,-1.3248,-1.3319
3-Jan,-1.2963,-1.3064,-1.3153
4-Jan,-1.2725,-1.2844,-1.2951
5-Jan,-1.2451,-1.2588,-1.2713
6-Jan,-1.2141,-1.2296,-1.2439
7-Jan,-1.1795,-1.1968,-1.2129
8-Jan,-1.1413,-1.1604,-1.1783
9-Jan,-1.0995,-1.1204,-1.1401
10-Jan,-1.0541,-1.0768,-1.0983
11-Jan,-1.0051,-1.0296,-1.0529
12-Jan,-0.9525,-0.9788,-1.0039
13-Jan,-0.8963,-0.9244,-0.9513
14-Jan,-0.8365,-0.8664,-0.8951
15-Jan,-0.7534,-0.7949,-0.8287
16-Jan,-0.7681,-0.7607,-0.786
17-Jan,-0.7221,-0.7451,-0.7478
18-Jan,-0.6745,-0.6983,-0.7215
19-Jan,-0.6251,-0.6498,-0.6739
20-Jan,-0.5741,-0.5996,-0.6245
21-Jan,-0.5213,-0.5477,-0.5735
22-Jan,-0.4669,-0.4941,-0.5207
23-Jan,-0.4107,-0.4388,-0.4663
24-Jan,-0.3529,-0.3818,-0.4101
25-Jan,-0.2933,-0.3231,-0.3523
26-Jan,-0.2321,-0.2627,-0.2927
27-Jan,-0.1691,-0.2006,-0.2315
28-Jan,-0.1045,-0.1368,-0.1685
29-Jan,-0.0381,-0.0713,-0.1039
30-Jan,0.03,-0.0041,-0.0375
31-Jan,0.0997,0.0648,0.0305
1-Feb,0.1712,0.1354,0.1003
2-Feb,0.2443,0.2077,0.1717
3-Feb,0.3192,0.2817,0.2449
4-Feb,0.3957,0.3574,0.3197
5-Feb,0.474,0.4348,0.3963
6-Feb,0.5539,0.5139,0.4745
7-Feb,0.6356,0.5947,0.5545
8-Feb,0.7189,0.6772,0.6361
9-Feb,0.804,0.7614,0.7195
10-Feb,0.8907,0.8473,0.8045
11-Feb,0.9792,0.9349,0.8913
12-Feb,1.0693,1.0242,0.9797
13-Feb,1.1612,1.1152,1.0699
14-Feb,1.2547,1.2079,1.1617
