Vineyard,Field,Block,Variety,Planted,Plants,Acres,Row.Spacing,Budburst,Flowering,Clust.per.Vine,Berries.per.Clust,Row#,Av.BerryWeight.Grams,Av.BunchWeight.Grams,Lag.Phase.G/Vine,Lag.Phase.Date,80%Veraison.Date,Av.BerryWeight.Grams,Av.BunchWeight.Grams,Lag.Estimate.t,Berry.Veraison.Estimate.Kg,Bunch.Veraison.Estimate.Kg,Bunch.Veraison.Estimate,2007.Actual,Percentage,Notes
Mannhardt-Sunnyside,F3,B1,Riesling,2006,1132,0.68,2.1 x 1.1,27-Apr,15-16-Jun,,,,,,,,,,,,,,,,,
Mannhardt-Sunnyside,F3,B2,Riesling,2006,1266,0.74,2.1 x 1.1,27-Apr,18-19-Jun,,,,,,,,,,,,,,,,,
Mannhardt-Sunnyside,F3,B3,Chasselas,2006,5151,3.29,2.1 x 1.1,27-Apr,,,,,,,,,,,,,,,,,,
Mannhardt-Sunnyside,F3,B4,Ehrenfelser,1977,745,1.13,3 x 1.4,2-May,21-22-Jun,32,133,9,0.67,86,2550,27-Jul,31-Aug,1.19,192,,,,,,,
Mannhardt-Sunnyside,F3,B5,Riesling,1977,946,1.13,3 x 1.4,27-Apr,21-22-Jun,29,146,25,0.77,135,4450,27-Jul,31-Aug,1.10,230,,,,,,,
Mannhardt-Sunnyside,,,Total,,41018,27.61,,,,,,,,,,,,,,,,,,,,
Harfman,,B1,347 Merlot,(1-20),,,,,,36,179,19,0.7,102,3350,24-Jul,,,,,,,,,,
Harfman,,B2,191 Cab Sauv,(21-40),,,,,,31,207,,0.66,108,3800,24-Jul,,,,,,,,,,
Harfman,,B3,339 Cab Sauv,(41-63),,,,,,32,148,50,0.8,103,4400,24-Jul,,,,,,,,,,
Harfman,,B4,2003 Cab Sauv,(64-80?),,,,,,28,153,,0.88,93,2750,24-Jul,,,,,,,,,,
Harfman,,B5,Graft Merlot,(81-103?),,,,,,29,156,,0.57,118,4350,24-Jul,,,,,,,,,,
Harfman,,B6,777 Pinot,(104-116),,,,,,27,154,,0.54,102,2850,24-Jul,,,,,,,,,,
Harfman,,B7,667 Pinot,(117-141),,,,,,,,,,,,,,,,,,,,,,
