VYears,Source,Vineyard,Block,Variety,Acres,Tier,Budbreak,Bloom,Veraison,BunchesPerVine,BunchWt(kg),BerryMass(g),Brix,pH,TA,GDDtoHarvest,HarvestDate,Yield (Tonnes),ActualT/A,
2017,Own,Bullpine,B,Merlot,5.11,3,3-May-17,13-Jun-17,16-Aug-17,28.2,0.1952,1.64,23.8,3.09,6.35,1507.0,24-Sep-17,21.587,4.22,
2018,Grower,Sidhu_Mo,C,Pinot Gris,3.09,3,,,,,0.1847,,22.5,3.15,7.20,,3-Oct-18,28.498,9.24,
2017,Own,Bullpine,C,Merlot,7.56,3,2-May-17,13-Jun-17,17-Aug-17,29.1,0.2010,1.36,25.0,3.10,6.64,1548.3,6-Oct-17,35.548,4.70,
2017,Own,Bullpine,D,Merlot,1.83,1,3-May-17,13-Jun-17,17-Aug-17,28.3,0.2014,1.53,24.8,3.09,6.64,1560.3,1-Nov-17,5.887,3.22,
2018,Grower,Sidhu_Mo,E,Cabernet Franc,1.92,3,,,,,0.1950,,25.1,3.14,7.49,,28-Oct-18,13.521,7.05,
2017,Own,Bullpine,D,Merlot,2.50,2,3-May-17,13-Jun-17,17-Aug-17,28.3,0.2014,1.53,24.8,3.09,6.64,1560.3,24-Oct-17,10.237,4.09,
2018,Grower,Sidhu_Mo,G,Cabernet Franc,3.83,3,,,,,0.1831,,24.3,3.10,7.41,,28-Oct-18,26.722,6.98,
2018,Grower,Silvertip Bench,A,Marquette,2.00,3,,,,,,,25.9,2.96,11.95,,10-Nov-18,6.570,3.29,
2018,Grower,Singh,A,Pinot Gris,0.97,1,,,,,0.2137,,,,,,5-Oct-18,5.280,5.44,
2018,Grower,Singh,A,Pinot Gris,0.97,1,,,,,0.2137,,,,,,6-Oct-18,5.280,5.44,
2018,Own,Sumac,A,Riesling,0.80,3,3-May-18,16-Jun-18,,24.2,0.1337,,21.5,2.90,11.98,,30-Oct-18,2.640,3.28,
2018,Own,Sumac,B,Gewurztraminer,0.59,3,3-May-18,18-Jun-18,,19.9,0.1429,,22.9,3.15,7.04,,15-Oct-18,1.003,1.69,
2018,Own,Sumac,C,Riesling,1.25,3,3-May-18,16-Jun-18,,23.4,0.1533,,20.0,2.90,12.60,,30-Oct-18,4.397,3.53,
2018,Own,Sumac,D,Pinot Noir,1.19,3,3-May-18,16-Jun-18,,26.7,0.1568,,20.1,2.93,13.29,,17-Oct-18,1.113,0.94,
2018,Grower,Suncrest  ,B,Cabernet Franc,0.80,3,,,,,0.1807,,23.4,3.17,7.74,,1-Nov-18,4.870,6.09,
2017,Own,Bullpine,D,Merlot,10.17,2,3-May-17,13-Jun-17,17-Aug-17,28.3,0.2014,1.53,24.8,3.09,6.64,1560.3,1-Nov-17,39.558,3.89,
2018,Grower,Takher,B,Cabernet Franc,4.66,3,,,,,0.1884,,22.5,3.12,5.74,,24-Oct-18,28.732,6.17,
2018,Grower,Takher,C,Cabernet Sauvignon,2.31,2,,,,,0.1732,,24.8,3.10,7.04,,2-Nov-18,12.318,5.33,
2018,Grower,Takher,D,Pinot Gris,2.37,3,,,,,0.1389,,18.4,3.01,9.37,,16-Sep-18,13.631,5.76,
2018,Grower,Takher,E,Riesling,1.95,3,,,,,0.1702,,21.8,2.91,11.75,,23-Oct-18,12.988,6.65,
2018,Grower,Takher,F,Chardonnay,0.49,3,,,,,0.1507,,22.6,3.07,7.91,,1-Oct-18,3.230,6.59,
2018,Grower,Takher,G,Viognier,0.89,3,,,,,0.1628,,24.0,3.11,7.62,,21-Oct-18,4.620,5.19,
2018,Own,Thomas,A,Viognier,0.88,3,30-Apr-18,8-Jun-18,18-Aug-18,26.1,0.2523,,23.5,3.02,8.62,,20-Oct-18,9.698,11.02,
2018,Own,Thomas,A,Viognier,1.00,2,30-Apr-18,8-Jun-18,18-Aug-18,26.1,0.2259,,22.3,3.00,9.43,,20-Oct-18,4.675,4.67,
2018,Own,Thomas,A,Viognier,3.75,2,30-Apr-18,8-Jun-18,18-Aug-18,26.1,0.2259,,22.3,3.00,9.43,,20-Oct-18,14.241,3.80,
2018,Own,Thomas,B,Chardonnay,4.45,3,30-Apr-18,3-Jun-18,11-Aug-18,27.1,0.2245,,21.0,3.00,11.22,,27-Sep-18,30.623,6.88,
2018,Own,Thomas,C,Pinot Gris,1.47,3,3-May-18,7-Jun-18,13-Aug-18,26.0,0.1888,,21.0,3.02,9.84,,18-Sep-18,8.360,5.69,
2018,Own,Thomas,D,Pinot Gris,1.97,3,2-May-18,7-Jun-18,12-Aug-18,25.6,0.1896,,22.6,3.04,7.90,,18-Sep-18,10.791,5.48,
