tag.no,date,appell,growblk,variety,lbs,brix,ta,ph,tanks,deputy,jtemp,comments,location,bins
8844,15-10-21,OLV,*10CAK,CAS,36660,25.5,3.99,3.7,"938,913,B    2",,0,,MH,38
88461,15-10-21,OLV,*10CAK,CAS,16560,25.5,3.99,3.7,"913,B    2",R,0,MP,MH,16
88471,15-10-21,OLV,*10CAK,CAS,600,25.5,3.99,3.7,"912,B    2",R,0,HP-GLEANING,MH,1
88482,15-10-21,OLV,*10CAK,CAS,700,25.5,3.99,3.7,"912,B    2",R,0,HP-SOUTH,MH,1
8814,15-10-15,OLV,*10CANA,CAS,8454,26.1,3.57,3.51,"910,B    2",,0,,MH,8
8811,15-10-15,OLV,*10CANA,CAS,45290,26.1,3.57,3.51,"910,B    2",,0,,MH,42
8816,15-10-15,OLV,*10CANA,CAS,5835,26.1,3.57,3.51,"604,XPA320",,0,,MH,7
8829,15-10-16,OLV,*10CANA,CAS,535,24.3,3.79,3.63,606,R,0,,MH,1
88322,15-10-16,OLV,*10CANA,CAS,910,24.3,3.78,3.63,606,CB,0,,MH,2
8813,15-10-15,OLV,*10CANB,CAS,33816,24.5,3.78,3.67,604,,0,,MH,32
8817,15-10-15,OLV,*10CANB,CAS,19020,24.5,3.78,3.67,604,,0,,MH,18
8469,15-08-28,OLV,*10CHAA,CHD,19670,22.8,6.2,3.38,XPA,RT,18,mp east block,MH,18
84661,15-08-28,OLV,*10CHAA,CHD,12570,24.2,5.7,3.61,XPA,RT,18,mp east block,MH,11
84662,15-08-28,OLV,*10CHAA,CHD,33140,23,5.7,3.53,RPA,RT,18,mp west,MH,29
84803,15-09-03,OLV,*10CHAA,CHD,14280,24.2,6.2,3.48,XPA320,BC,0,,MH,13
84936,15-09-08,OLV,*10CHAA,CHD,722,24.2,6.2,3.48,"XPA320,XPA",,0,,MH,1
84932,15-09-08,OLV,*10CHLA,CHD,1445,22.4,6.8,3.52,"XPA320,XPA",,0,,MH,2
84802,15-09-03,OLV,*10CHP,CHD,4394,0,0,0,XPA320,BC,0,,MH,4
8510,15-09-10,OLV,*10CHQA,CHD,5655,24.3,5.54,3.51,RPA,,0,,MH,5
8515,15-09-10,OLV,*10CHQA,CHD,31290,24.3,5.54,3.51,RPA,,0,,MH,28
8622,15-09-23,OLV,*10MEJ,MER,24040,26.7,3.3,4.09,"916,B    1",,0,,MH,26
86412,15-09-24,OLV,*10MEJ,MER,2585,23.1,4.1,3.65,603,,0,,MH,4
8590,15-09-21,OLV,*10PBS,PBL,5625,23.7,5.01,3.49,XPA320,JP,0,MP,MH,5
8591,15-09-21,OLV,*10PBS,PBL,43610,23.7,5.01,3.49,XPA320,JP,0,MP,MH,38
8592,15-09-21,OLV,*10PBS,PBL,42350,23.7,5.01,3.49,"RPA,XPA320",CB,0,MP,MH,38
85951,15-09-21,OLV,*10PBW,PBL,14132,23.9,4.8,3.93,XPA320,,12,,MH,12
8596,15-09-21,OLV,*10PBX,PBL,45832,23.9,4.8,3.93,XPA320,,12,,MH,37
85952,15-09-21,OLV,*10PBX,PBL,30618,23.9,4.8,3.93,"RPA,XPA320",,12,,MH,26
86411,15-09-24,OLV,*10PBX,PBL,1293,23.4,5.9,3.4,XPA320,,0,,MH,2
8508,15-09-10,OLV,*10PGCA,PGR,33065,23.7,5,3.49,"XPA,XPA",DB,17,mp,MH,27
8528,15-09-14,OLV,*10PGCA,PGR,13300,24.1,4.7,3.48,RPA,BC,13,mp,MH,12
85252,15-09-14,OLV,*10PGCB,PGR,25439,24.1,4.7,3.48,"RPA,XPA320",JP,13,mp,MH,22
85232,15-09-14,OLV,*10PGDA,PGR,13861,24.1,6.2,3.44,"XPA,RPA",RT,14,MP,MH,12
85251,15-09-14,OLV,*10PGDA,PGR,9250,24.7,4.7,3.48,RPA,JP,13,mp,MH,8
85231,15-09-14,OLV,*10PGDB,PGR,30159,24.1,6.2,3.44,XPA,RT,14,MP,MH,26
8494,15-09-08,OLV,*10PGR,PGR,23230,23.2,4.9,3.72,XPA320,BC,11,mp,MH,20
8492,15-09-08,OLV,*10PGR,PGR,45310,23.2,4.9,3.72,XPA320,RT,11,mp,MH,38
8500,15-09-09,OLV,*10PGR,PGR,41320,23.4,4.6,3.57,XPA,DB,13,MP,MH,36
8537,15-09-15,OLV,*10PGR,PGR,1150,24.4,7.6,3.43,RPA,,13,,MH,2
8538,15-09-15,OLV,*10PGR,PGR,1600,24.4,7.6,3.43,RPA,,13,,MH,2
8669,15-09-25,OLV,*10PGR,PGR,965,24.7,5.7,3.54,607,,0,,MH,1
8536,15-09-15,OLV,*10PGV,PGR,29410,25.2,3.98,3.52,XPA,JP,0,,MH,26
8518,15-09-11,OLV,*10PNGA,PNN,10200,22.8,4.01,3.57,"930,929,B    2",,0,,MH,9
85182,15-09-11,OLV,*10PNGB,PNN,11334,23.3,3.86,3.61,"930,B    2",,0,,MH,19
8529,15-09-14,OLV,*10PNGB,PNN,7140,24.9,3.86,3.61,"OV   5,B    3",BC,0,MP,MH,6
85833,15-09-18,OLV,*10PNH,PNN,29510,22.8,5.2,3.64,"918,B    2",JP,0,MP,MH,24
85841,15-09-18,OLV,*10PNI,PNN,15367,23.1,5.2,3.64,"918,OV   1,B    2",RT,0,mp,MH,14
8554,15-09-16,OLV,*10SBB,SBL,50110,23.9,5.1,3.5,XPA320,JP,0,MP,MH,42
85561,15-09-16,OLV,*10SBB,SBL,13343,23.9,5.1,3.5,XPA320,JP,0,MP,MH,12
8567,15-09-17,OLV,*10SBO,SBL,44740,24.1,5.06,3.54,XPA320,JP,0,MP,MH,40
85681,15-09-17,OLV,*10SBO,SBL,11660,24.1,5.06,3.54,XPA320,R,0,MP,MH,11
88151,15-10-15,OLV,*10SZLB,SHZ,14636,26.1,4.25,3.57,XPA320,,0,,MH,13
88191,15-10-15,OLV,*10SZLB,SHZ,3859,27.1,4.28,3.6,XPA320,,0,,MH,4
8746,15-10-05,OLV,*10SZY,SHZ,11640,25.8,4.11,3.8,453,DB,0,mp,MH,12
88152,15-10-15,OLV,*10SZY,SHZ,934,25.8,4.11,3.8,XPA320,,0,,MH,1
88192,15-10-15,OLV,*10SZY,SHZ,246,25.8,4.14,3.74,XPA320,,0,,MH,0
8707,15-09-30,OLV,*10VIAA,VIO,3025,28.2,4.04,3.88,"912,B    1,914",DB,0,hp,MH,3
8748,15-10-05,OLV,*10VIAA,VIO,1970,28.2,4.04,3.88,453,DB,0,HP,MH,2
87692,15-10-07,OLV,*10VIAA,VIO,800,28.2,4.04,3.88,909,DB,0,HP,MH,1
8694,15-09-29,OLV,*10VIAB,VIO,3085,22.4,4.19,3.83,"919,913,B    4",JJ,0,,MH,3
8851,15-10-22,OLV,*11CAA,CAS,6915,26.8,3.94,3.86,"909,B    3",SF,0,MP,MH,7
88552,15-10-22,OLV,*11CAA,CAS,260,26.8,3.94,3.86,"917,B    4",CB,0,HP-GLEANING,MH,0
88473,15-10-21,OLV,*11CAB,CAS,200,25.5,3.76,3.81,"912,B    2",R,0,HP-GLEANING,MH,1
88481,15-10-21,OLV,*11CAB,CAS,9050,25.5,3.76,3.81,"913,B    2,912,B    2",R,0,MP,MH,9
8796,15-10-13,OLV,*11CAP,CAS,15902,25.9,4.1,3.51,904,R,0,,MH,16
8793,15-10-13,OLV,*11CAP,CAS,8090,25.9,4.1,3.51,904,SF,0,,MH,8
88291,15-10-16,OLV,*11CAP,CAS,368,25.9,4.13,3.51,606,R,0,,MH,1
87961,15-10-13,OLV,*11CAQ,CAS,15902,25.3,4.5,3.49,904,R,0,,MH,15
87931,15-10-13,OLV,*11CAQ,CAS,8090,25.3,4.5,3.49,904,SF,0,,MH,8
88292,15-10-16,OLV,*11CAQ,CAS,367,25.3,4.5,3.49,606,R,0,,MH,1
88462,15-10-21,OLV,*11CAR,CAS,22770,26.1,4.17,3.56,"913,B    2",R,0,MP,MH,22
88472,15-10-21,OLV,*11CAR,CAS,555,26.1,4.17,3.56,"912,B    2",R,0,HP-GLEANING,MH,1
8808,15-10-14,OLV,*11CFL,CAF,6353,25.2,4.4,3.5,603,R,0,,MH,6
88181,15-10-15,OLV,*11CFL,CAF,789,26.8,4.42,3.5,604,,0,,MH,1
88071,15-10-14,OLV,*11CFL,CAF,15827,26.8,4.42,3.5,603,,0,,MH,13
88081,15-10-14,OLV,*11CFM,CAF,6353,25.9,4.3,3.51,603,,0,,MH,6
88072,15-10-14,OLV,*11CFM,CAF,15375,27.4,4.29,3.51,603,,0,,MH,13
88082,15-10-14,OLV,*11CFN,CAF,6353,25.9,4.3,3.51,603,R,0,,MH,6
88073,15-10-14,OLV,*11CFN,CAF,14018,25.9,4.29,3.51,"603,XPA320",,0,,MH,12
