tag.no,crush.tag.date,appell,growblk,variety,lbs,unalloc,brix,ta,ph,tanks,deputy,comments,location,bins,gcexclude
64141,11-10-08,OLV,*10PNH,PNN,2363,0,20.6,6.35,3.37,929,BL,MP,MH,2,FALSE
6412,11-10-08,OLV,*10PNI,PNN,4580,0,20.6,6.35,3.41,929,WA,MP,MH,4,FALSE
64132,11-10-08,OLV,*10PNI,PNN,13772,0,20.6,6.35,3.41,"921,RPA",WA,MP,MH,12,FALSE
64142,11-10-08,OLV,*10PNI,PNN,1182,0,20.6,6.35,3.41,929,BL,MP,MH,1,FALSE
6580,11-10-26,OLV,*10RST,RSL,9310,0,21.1,11.8,2.88,XPA320,BD,HP,MH,14,FALSE
6586,11-10-26,OLV,*10RST,RSL,28570,0,21.1,11.8,2.88,XPA320,BD,MP,MH,28,FALSE
64402,11-10-12,OLV,*10SBB,SBL,13408,0,18,7.76,3.09,XPA,BD,MP,MH,12,FALSE
6446,11-10-12,OLV,*10SBB,SBL,38100,0,18,7.76,3.09,"XPA,RPA",BD,MP,MH,34,FALSE
6438,11-10-12,OLV,*10SBO,SBL,42700,0,18,6.69,3.17,XPA320,JP,MP,MH,38,FALSE
64401,11-10-12,OLV,*10SBO,SBL,29052,0,18,6.69,3.17,XPA320,BD,MP,MH,26,FALSE
65881,11-10-26,OLV,*10SZL,SHZ,38230,0,21.8,8.17,3.29,937,BD,MP,MH,35,FALSE
65882,11-10-26,OLV,*10SZM,SHZ,2880,0,21.8,8.17,3.29,937,BD,MP,MH,3,FALSE
6598,11-10-27,OLV,*10SZY,SHZ,7175,0,21.9,8.58,3.37,606,FL,MP,MH,7,FALSE
6604,11-10-27,OLV,*10SZY,SHZ,4690,0,21.9,8.58,3.37,606,BL,MP,MH,4,FALSE
69861,11-11-03,OLV,*10VAA,VIO,2552,0,22.5,6.74,3.2,XPA150,FL,HP,MH,3,FALSE
