grower,variety,grow.blk,date,tag.no,lbs,brix,ta,ph
*10,PBL,*10PBX,14-10-06,81592,41781,22.4,4.9,3.58
*10,PGR,*10PGCA,14-09-23,80581,35210,23.2,5.28,3.44
*10,PGR,*10PGCB,14-09-24,8066,40360,22.9,5.26,3.46
*10,PGR,*10PGCB,14-09-24,80681,20050,22.9,5.26,3.46
*10,PGR,*10PGDA,14-09-24,8069,15330,21.6,5.21,3.41
*10,PGR,*10PGDA,14-09-24,80682,20050,21.6,5.21,3.41
*10,PGR,*10PGDB,14-09-23,8059,31925,21.7,5.31,3.43
*10,PGR,*10PGDB,14-09-23,80582,4400,21.7,5.31,3.43
*10,PGR,*10PGR,14-09-25,8073,40890,22.7,5.4,3.27
*10,PGR,*10PGR,14-09-25,8074,40870,22.7,5.4,3.27
*10,PGR,*10PGR,14-09-25,8075,43850,22.7,5.4,3.27
*10,PGR,*10PGR,14-09-25,8076,6730,22.7,5.4,3.27
*10,PGR,*10PGR,14-09-30,8104,8135,24.1,5.28,3.51
*10,PGR,*10PGV,14-09-30,81021,32560,23.3,5.38,3.5
*10,PNN,*10PNGA,14-09-23,8061,6830,21.5,5.72,3.5
*10,PNN,*10PNGA,14-09-23,80641,12551,21.5,5.72,3.5
*10,PNN,*10PNGB,14-09-23,8060,7615,21.5,5.72,3.5
*10,PNN,*10PNGB,14-09-23,80642,9413,21.6,5.53,3.58
*10,PNN,*10PNH,14-09-30,8106,14690,21.9,4.96,3.51
*10,PNN,*10PNH,14-09-30,8109,28920,21.6,4.96,3.54
*10,PNN,*10PNH,14-09-30,8113,225,21.6,4.96,3.54
*10,PNN,*10PNI,14-10-01,8122,27430,21.1,4.63,3.69
*10,PNN,*10PNI,14-10-01,8132,2000,21.1,4.63,3.69
*10,SBL,*10SBB,14-10-06,8166,43630,21,5.54,3.43
*10,SBL,*10SBB,14-10-06,8168,26160,21,5.54,3.43
*10,SBL,*10SBO,14-09-30,8108,8020,22.2,5.73,3.29
*10,SBL,*10SBO,14-09-30,8110,39680,22.2,5.73,3.29
*10,SBL,*10SBO,14-09-30,8112,37495,22.2,5.73,3.29
*10,SBL,*10SBO,14-09-30,8117,6300,22.2,5.73,3.29
*10,SHZ,*10SZLB,14-10-20,8300,14800,25.6,5.83,3.58
*10,SHZ,*10SZLB,14-10-20,83031,8208,25.6,5.83,3.58
*10,SHZ,*10SZM,14-10-20,83032,2052,0,0,0
*10,SHZ,*10SZY,14-10-16,8262,12670,26.8,5.72,3.73
*10,VIO,*10VIAA,14-10-17,82831,7490,0,0,0
*10,VIO,*10VIAB,14-10-17,82832,3210,0,0,0
*10,VIO,*10VIAB,14-10-21,8307,7950,25.5,6.2,3.71
*11,CAF,*11CFL,14-10-22,8333,30610,24.8,4.21,3.37
*11,CAF,*11CFL,14-10-23,83501,5100,24.8,4.21,3.37
*11,CAF,*11CFL,14-10-30,84221,920,0,0,0
*11,CAF,*11CFM,14-10-22,83321,31145,24.9,4.26,3.39
*11,CAF,*11CFM,14-10-30,84222,900,0,0,0
*11,CAF,*11CFN,14-10-22,83322,3845,25,4.15,3.41
*11,CAF,*11CFN,14-10-23,8353,26750,25,4.15,3.41
*11,CAF,*11CFN,14-10-23,83502,1740,25,4.15,3.41
*11,CAF,*11CFN,14-10-31,84257,700,0,0,0
*11,CAS,*11CAA,14-11-03,84331,8295,25.8,5.5,3.7
*11,CAS,*11CAB,14-11-03,84332,9705,24.9,4.73,3.63
*11,CAS,*11CAP,14-10-21,83171,32255,24.7,5.7,3.49
*11,CAS,*11CAP,14-10-30,84211,260,0,0,0
*11,CAS,*11CAQ,14-10-21,8320,16830,24.9,5.9,3.45
*11,CAS,*11CAQ,14-10-21,83172,10565,24.9,5.9,3.45
*11,CAS,*11CAQ,14-10-22,83281,5655,24.9,5.9,3.45
*11,CAS,*11CAQ,14-10-30,84212,270,0,0,0
*11,CAS,*11CAR,14-10-22,8331,7980,24.9,5.5,3.51
*11,CAS,*11CAR,14-10-22,83282,25965,24.9,5.5,3.51
*11,CAS,*11CAR,14-10-30,84213,285,0,0,0
*11,CHD,*11CHD,14-09-16,80302,25090,24.1,5.9,3.41
*11,CHD,*11CHD,14-09-16,80313,4882,23.8,5.8,3.41
*11,CHD,*11CHE,14-09-16,80303,6669,24.1,5.9,3.41
*11,CHD,*11CHE,14-09-16,80314,1298,23.8,5.8,3.41
*11,CHD,*11CHO,14-09-16,80311,19570,23.8,5.8,3.41
*11,CHD,*11CHXB,14-09-16,80301,3970,24.1,5.9,3.41
*11,CHD,*11CHXB,14-09-17,8024,37770,23.8,5.9,3.42
*11,CHD,*11CHXB,14-09-17,8026,7675,23.8,5.9,3.42
*11,CHD,*11CHXB,14-09-17,8028,38820,23.8,5.9,3.42
*11,CHD,*11CHXB,14-09-17,8029,38450,23.8,5.9,3.42
*11,GAM,*11GAK,14-10-20,8287,19705,25.8,5.5,3.42
*11,GAM,*11GAK,14-10-20,8293,675,25.8,5.5,3.42
*11,GAM,*11GAK,14-10-20,8298,29710,25.8,5.5,3.42
*11,MER,*11MEV,14-10-20,82891,9220,25.4,4.9,3.44
*11,MER,*11MEV,14-11-04,84442,240,0,0,0
*11,MER,*11MEW,14-10-16,8260,5720,24.8,4.8,3.48
*11,MER,*11MEW,14-10-16,8263,37550,24.8,4.8,3.48
*11,MER,*11MEW,14-10-16,8265,24580,24.8,4.8,3.48
*11,MER,*11MEW,14-10-17,82801,7070,24.8,4.8,3.48
*11,MER,*11MEW,14-11-04,84443,1250,0,0,0
*11,MER,*11MEZ,14-10-17,82802,13130,24.6,4.8,3.47
*11,MER,*11MEZ,14-10-20,82892,6145,24.6,4.8,3.47
*11,MER,*11MEZ,14-11-04,84444,400,0,0,0
*11,PBL,*11PBS,14-10-02,8136,35920,22.4,5.1,3.31
*11,PBL,*11PBS,14-10-02,8137,10400,22.4,5.1,3.31
*11,PBL,*11PBS,14-10-02,8142,10460,22.4,5.1,3.31
*11,PNN,*11PNF,14-09-16,80222,15079,22.6,5.1,3.52
*11,PNN,*11PNF,14-09-25,80801,6969,23,5.4,3.53
*11,PNN,*11PNG,14-09-16,80221,1116,22.6,5.1,3.52
*11,PNN,*11PNG,14-09-24,8070,26000,23,4.7,3.61
*11,PNN,*11PNG,14-09-24,80711,15028,23,4.7,3.61
*11,PNN,*11PNH,14-09-24,80712,2313,23,4.7,3.61
*11,PNN,*11PNH,14-09-25,80782,21919,22.9,5.1,3.48
*11,PNN,*11PNH,14-09-25,80802,17206,23,5.4,3.53
*11,PNN,*11PNI,14-09-25,80781,3131,22.9,5.1,3.48
*11,PNN,*11PNI,14-09-26,80803,2995,23,5.4,3.53
*11,SBL,*11SBU,14-09-18,8042,20890,24.2,7.51,3.3
*11,SBL,*11SBU,14-09-18,80402,17444,24.2,7.51,3.3
*11,SBL,*11SBY,14-09-18,80401,3271,24.3,7.35,3.31
*11,SBL,*11SBY,14-09-19,8041,41530,24.3,7.35,3.31
*12,CAS,*12CAD,14-10-23,8348,28930,23.6,5.1,3.66
*12,CAS,*12CAD,14-10-23,8351,32440,23.6,5.1,3.66
*12,CAS,*12CAD,14-10-29,84091,18692,23.9,5.4,3.53
*12,CAS,*12CAD,14-10-31,84254,1200,0,0,0
*12,CAS,*12CAL,14-10-29,84092,4673,23.9,5.4,3.53
*12,PBL,*12PBM,14-10-06,8160,41090,22.4,4.9,3.58
*12,PBL,*12PBM,14-10-06,8162,8610,22.4,4.9,3.58
*12,PNN,*12PNA,14-10-08,8191,43760,23.2,5.9,3.69
*12,PNN,*12PNA,14-10-08,8192,7795,22.9,5.1,3.79
*12,PNN,*12PNA,14-10-08,81874,13775,23.2,5.5,3.64
*12,PNN,*12PNB,14-10-08,81873,6885,23.2,5.5,3.64
*12,PNN,*12PNC,14-10-08,81872,13775,23.2,5.5,3.64
*12,PNN,*12PNH,14-10-02,81382,28547,22.2,4.87,3.56
*12,PNN,*12PNH,14-10-08,8185,4290,23.2,5.5,3.64
*12,PNN,*12PNH,14-10-08,81871,9185,23.2,5.5,3.64
*12,PNN,*12PNO,14-10-01,8128,19535,22.3,4.67,3.67
*12,PNN,*12PNO,14-10-01,8131,22755,22.3,4.67,3.67
*12,PNN,*12PNO,14-10-02,81381,2196,22.3,4.67,3.67
*12,RSL,*12RSF,14-10-09,82081,23775,23,7.9,3.32
*12,RSL,*12RSP,14-10-09,8211,39370,20.4,8.4,3.36
*12,RSL,*12RSP,14-10-09,8212,39800,20.4,8.4,3.36
*12,RSL,*12RSP,14-10-09,8213,4170,20.4,8.4,3.36
*12,RSL,*12RSP,14-10-09,82082,13865,20.4,8.4,3.36
*12,SBL,*12SBJ,14-09-29,8088,37940,22.2,5.34,3.5
*12,SBL,*12SBJ,14-09-29,8094,9870,22.2,5.34,3.5
*12,SBL,*12SBJ,14-09-29,8098,9650,22.2,5.34,3.5
*12,SBL,*12SBJ,14-09-30,8114,36510,22.2,5.34,3.5
*12,SBL,*12SBJ,14-09-30,8116,13460,22.2,5.34,3.5
*12,SBL,*12SBJ,14-09-30,8118,37210,22.2,5.34,3.5
*12,SEM,*12SMG,14-10-01,81202,23258,22.3,5.5,3.42
*12,SEM,*12SMG,14-10-01,81211,2412,22.3,5.5,3.42
*12,SEM,*12SMG,14-10-01,81212,2926,22.3,5.5,3.42
*12,SEM,*12SMN,14-10-01,81201,18802,22.3,5.5,3.42
*12,SHZ,*12SZEB,14-10-16,82561,23790,24.7,5.36,3.61
*12,SHZ,*12SZK,14-10-16,82562,7625,0,0,0
*13,PNN,*13PNA,14-10-14,82421,7125,0,0,0
*13,PNN,*13PNE,14-10-14,82422,538,0,0,0
*13,PNN,*13PNF,14-10-14,82423,942,0,0,0
*15,CHD,*15CHCA,14-10-23,8358,33755,25.7,7.2,3.32
*15,CHD,*15CHF,14-10-23,83571,8230,24.4,8.5,3.32
*15,CHD,*15CHG,14-10-23,83572,14400,24.7,7.5,3.4
*15,CHD,*15CHY,14-10-22,8341,30245,25.4,7.9,3.35
*15,GZT,*15GWH,14-10-23,8356,11950,24.5,5.2,3.64
