tag.no,crush.tag.date,appell,growblk,variety,lbs,grapecost,brix,ta,ph,tanks,deputy,comments,bins
7448,12-11-05,OLV,*26CAB,CAS,12290,0,21.40,9.99,3.28,XPA320,GD,HP,16
74491,12-11-05,OLV,*26MEA,MER,15157,0,22.50,10.00,3.25,XPA320,BD,HP,18
74492,12-11-05,OLV,*26MED,MER,5035,0,23.80,7.87,3.41,XPA320,BD,HP,6
7454,12-11-05,OSO,*02SZQ,SHZ,24500,0,23.10,4.90,3.91,"939,B    3",R,MP,20
7456,12-11-05,OSO,*02SZQ,SHZ,6140,0,23.10,4.90,3.91,"939,B    3",BL,MP,6
74571,12-11-05,OSO,*21PVB,PVD,12485,0,27.00,11.20,3.16,459,BL,HP,16
74572,12-11-05,OSO,*21PVC,PVD,10924,0,25.50,12.20,3.08,459,BL,HP,14
74573,12-11-05,OSO,*21PVD,PVD,3121,0,25.50,12.20,3.08,459,BL,HP,4
7460,12-11-05,OLV,*09PVF,PVD,9175,0,26.50,10.50,3.12,459,BL,MP,9
74641,12-11-05,NAR,*15PAC,PNN,5561,0,22.90,10.10,3.20,"920,B    3",BC,HP,7
74642,12-11-05,NAR,*15PAD,PNN,20654,0,23.30,9.06,3.13,"920,B    3",BC,HP,26
74611,12-11-05,OLV,*17CAA,CAS,10337,0,25.40,6.77,3.41,"OV   5,B    3",BL,HP,14
74612,12-11-05,OLV,*17CAD,CAS,2953,0,23.60,6.70,3.46,"OV   5,B    3",BL,HP,4
7462,12-11-05,OLV,*16CAJ,CAS,14765,0,26.20,8.61,3.26,"926,B    3",BL,MP,13
74654,12-11-05,NAR,*15CHF,CHD,1154,0,23.60,12.20,3.10,XPA320,DK,MP,1
7469,12-11-06,NAR,HINMEC,MER,37540,0,22.50,9.72,3.16,XPA150,R,HP,48
7479,12-11-06,NAR,*15VIA,VIO,3305,0,21.60,11.10,2.97,"939,B    3",R,MP,3
7480,12-11-06,NAR,*15PBP,PBL,34755,0,21.40,10.20,3.04,XPA320,R,MP,33
7481,12-11-06,NAR,*15PBP,PBL,36375,0,21.40,10.20,3.04,XPA320,R,HP,35
74671,12-11-06,OLV,*05CAA,CAS,20255,0,23.50,9.64,3.18,604,R,HP,25
74672,12-11-06,OLV,*05CAB,CAS,11343,0,23.10,7.93,3.33,604,R,HP,14
74673,12-11-06,OLV,*05CAD,CAS,7292,0,23.00,9.62,3.21,604,R,HP,9
7468,12-11-06,OSO,*20PVC,PVD,39775,0,21.80,12.20,2.97,"459,604,453,453,914,4",R,MP,37
74711,12-11-06,OLV,*05CAD,CAS,34570,0,23.00,9.62,3.21,"604,453",BD,HP,43
74712,12-11-06,OLV,*05CAE,CAS,4020,0,23.60,8.99,3.19,453,BD,HP,5
74721,12-11-06,KEL,*22PNA,PNN,4398,0,22.00,9.67,3.63,907,R,HP,5
74722,12-11-06,KEL,*22PNB,PNN,7036,0,23.70,10.60,3.05,907,R,HP,8
74723,12-11-06,KEL,*22PNC,PNN,6156,0,23.60,10.60,3.06,907,R,HP,7
74741,12-11-06,KEL,*22PND,PNN,6202,0,20.60,10.70,2.98,"907,919",R,HP,7
74742,12-11-06,KEL,*22PNE,PNN,6202,0,22.40,10.40,2.99,"919,B    3",R,HP,7
74743,12-11-06,KEL,*22PNG,PNN,5316,0,21.20,11.30,3.04,"919,B    3",R,HP,6
7475,12-11-06,OLV,*17CAD,CAS,8880,0,23.60,6.70,3.46,456,BL,HP,12
74761,12-11-06,OLV,*27CFC,CAF,9804,0,22.90,8.32,3.34,454,BL,MP,9
74762,12-11-06,OLV,*27CFG,CAF,10892,0,22.90,7.81,3.32,454,BL,MP,10
74763,12-11-06,OLV,*27ALD,ALI,9804,0,20.30,9.30,3.37,454,BL,MP,9
74771,12-11-06,OSO,*02CAA,CAS,19381,0,24.90,9.22,3.11,456,R,HP,26
74772,12-11-06,OSO,*02CAF,CAS,16399,0,25.90,8.69,3.14,456,R,HP,22
7478,12-11-06,NAR,*15CHG,CHD,4740,0,23.40,10.50,3.17,XPA320,R,MP,4
7482,12-11-07,OLV,*05CAA,CAS,22510,0,23.50,9.64,3.18,453,BD,HP,30
7483,12-11-07,KEL,*22PGF,PGR,7275,0,23.70,9.66,3.06,XPA320,AM,HP,7
74841,12-11-07,KEL,*22PNG,PNN,4595,0,21.40,11.30,3.04,"919,B    3",R,HP,4
74842,12-11-07,KEL,*22PNH,PNN,10340,0,21.60,11.70,2.99,"919,B    3",R,HP,13
74851,12-11-07,OLV,*17CAA,CAS,5010,0,25.40,6.77,3.41,"914,B    3",BD,HP,6
74852,12-11-07,OLV,*17CAD,CAS,11690,0,23.60,6.73,3.46,"914,B    3",BDE,HP,14
74861,12-11-07,OLV,*05CAE,CAS,9540,0,23.60,8.99,3.19,453,R,HP,12
74862,12-11-07,OLV,*05CAH,CAS,1590,0,24.10,10.10,3.26,453,R,HP,2
74863,12-11-07,OLV,*05CAI,CAS,3180,0,23.70,9.14,3.32,453,R,HP,4
74871,12-11-07,OSO,*02CAG,CAS,19224,0,25.90,5.21,3.84,"915,B    4",R,HP,26
74872,12-11-07,OSO,*02CAF,CAS,4436,0,25.90,8.69,3.14,915,R,HP,6
7488,12-11-07,NAR,HINMEC,MER,21760,0,22.50,9.72,3.16,452,R,HP,32
7489,12-11-07,NAR,*15RSI,RSL,13840,0,22.00,13.70,2.75,XPA150,R,HP,18
74911,12-11-07,OLV,*27CAA,CAS,26556,0,23.00,10.20,3.30,RPA150,R,MP,25
74912,12-11-07,OLV,*27CAE,CAS,11684,0,23.20,9.32,3.32,452,R,MP,11
74921,12-11-07,NAR,*15PGT,PGR,18436,0,23.60,8.09,3.25,XPA320,BL,MP,16
74922,12-11-07,NAR,*15PGU,PGR,23044,0,24.40,8.26,3.23,XPA320,BL,MP,20
7493,12-11-07,KEL,*22PGF,PGR,5760,0,23.70,9.66,3.06,XPA320,R,HP,6
74951,12-11-07,OLV,*05CAA,CAS,3975,0,23.50,9.64,3.18,452,R,HP,5
74952,12-11-07,OLV,*05CAD,CAS,3975,0,23.00,9.62,3.21,452,R,HP,5
74961,12-11-07,OLV,*27CAE,CAS,1029,0,23.20,9.32,3.32,452,R,MP,1
74962,12-11-07,OLV,*27CAH,CAS,6176,0,22.70,7.33,3.42,"914,B    3",R,MP,6
7498,12-11-07,NAR,*15RSI,RSL,21215,0,22.00,13.70,2.75,XPA150,R,HP,27
74991,12-11-07,NAR,*15PGV,PGR,3837,0,25.10,7.53,3.29,XPA320,R,HP,4
74992,12-11-07,NAR,*15PGT,PGR,5755,0,23.60,8.09,3.25,XPA320,R,MP,6
74993,12-11-07,NAR,*15PGU,PGR,8633,0,24.40,8.26,3.23,XPA320,R,MP,9
74901,12-11-07,OSO,*03MEE,MER,13130,0,25.20,6.81,3.31,XPA320,R,HP,17
74902,12-11-07,OSO,*03MEJ,MER,24715,0,26.40,6.28,3.34,XPA320,R,HP,32
75001,12-11-07,OSO,*02CFH,CAF,2963,0,26.10,4.26,3.79,"927,B    4",BL,HP,4
75002,12-11-07,OSO,*03CFG,CAF,3704,0,25.60,4.38,3.90,"927,B    4",BL,HP,5
75003,12-11-07,OSO,*21CFF,CAF,10370,0,26.50,6.61,3.27,"OV   4,B    4",BL,HP,14
75004,12-11-07,OSO,*21CFG,CAF,17778,0,26.60,7.77,3.20,"OV   4,OV   2,927,B",BL,HP,24
74941,12-11-07,KEL,*22PNK,PNN,8298,0,22.10,10.90,2.99,"937,B    4",R,HP,9
74942,12-11-07,KEL,*22PNO,PNN,922,0,22.10,10.90,2.99,"937,B    4",R,HP,1
74971,12-11-07,KEL,*22PNO,PNN,3668,0,22.10,10.90,2.99,"937,B    4",R,HP,4
74972,12-11-07,KEL,*22PNR,PNN,13757,0,21.80,9.93,3.02,"937,B    4",R,HP,15
7504,12-11-08,KEL,SERPBA,PBL,19670,0,19.00,10.30,2.97,XPA150,BL,HP,20
7507,12-11-08,OSO,*20SZB,SHZ,37640,0,22.50,6.59,3.27,"925,930,OV  15,B    4",BL,HP,44
75021,12-11-08,NAR,*15RSI,RSL,2145,0,22.00,13.70,2.75,XPA150,BL,HP,3
75022,12-11-08,NAR,*15RSK,RSL,6435,0,21.60,13.80,2.74,XPA150,BL,HP,9
7503,12-11-08,NAR,HINCHB,CHD,30430,0,21.10,12.00,3.01,XPA320,BL,HP,36
7505,12-11-08,OLV,*12RSF,RSL,915,0,20.40,10.70,2.96,XPA150,BL,HP,1
75061,12-11-08,OLV,*11CFL,CAF,970,0,22.00,7.60,3.19,"OV  15,B    4",BL,HP,1
75062,12-11-08,OLV,*11CFM,CAF,970,0,22.00,7.10,3.17,"OV  15,B    4",BL,HP,1
7508,12-11-09,NAR,HINCHB,CHD,19885,0,21.10,12.00,3.01,XPA320,R,HP,23
7509,12-11-09,OSO,*19MEC,MER,1765,0,22.80,7.21,3.26,"OV  15,B    4",BL,HP,3
7510,12-11-09,OLV,*04MEA,MER,1265,0,24.20,8.29,3.13,"OV  15,B    4",BL,HP,1
7512,12-11-09,OSO,*20CAA,CAS,985,0,24.30,7.76,3.22,"OV  15,B    4",BL,HP,1
75131,12-11-09,KEL,*07RSD,RSL,4060,0,22.00,14.80,2.71,XPA150,BL,HP,4
75132,12-11-09,KEL,*07RSA,RSL,3045,0,22.20,15.00,2.70,XPA150,BL,HP,3
7514,12-11-09,KEL,SERPBA,PBL,32560,0,19.00,10.30,2.97,XPA320,BL,HP,34
7511,12-11-09,OLV,*11MEW,MER,1395,0,23.80,8.45,3.12,"OV  15,B    4",BL,HP,1
7515,12-11-13,KEL,*07PNC,PNN,7335,0,23.50,11.10,2.92,931,BL,HP,7
75161,12-11-13,KEL,*13PNA,PNN,5034,0,0.00,0.00,0.00,931,BD,HP,4
75162,12-11-13,KEL,*13PNE,PNN,1258,0,0.00,0.00,0.00,931,BD,HP,1
75163,12-11-13,KEL,*13PNF,PNN,1258,0,0.00,0.00,0.00,931,BD,HP,1
7518,12-11-14,KEL,*13RSC,RSL,1400,0,0.00,0.00,0.00,,BL,HP,2
7517,12-11-14,KEL,*07RSA,RSL,9145,0,22.20,15.00,2.70,,BL,HP,9
75191,12-11-14,KEL,*13CHB,CHD,3284,0,0.00,0.00,0.00,,BL,HP,4
75192,12-11-14,KEL,*13CHG,CHD,821,0,0.00,0.00,0.00,,BL,HP,1
7520,12-11-14,NAR,HINPGA,PGR,48520,0,21.60,10.40,3.05,,BD,HP,50
7521,12-11-14,NAR,HINPGA,PGR,12450,0,21.60,10.40,3.05,,BD,HP,14
75221,12-11-14,OLV,MILRSA,RSL,16516,0,21.60,12.50,2.92,,BD,HP,16
75222,12-11-14,OLV,MILRSB,RSL,17539,0,20.10,13.20,2.87,,BD,HP,17
,,,,,10247050,,,,,,,,
