tag.no,crush.tag.date,appell,growblk,variety,lbs,grapecost,brix,ta,ph,tanks,deputy,comments,bins
71431,12-10-04,OLV,*11MEW,MER,7950,0,24.10,6.44,3.33,"OV  18,B    1",WA,HP,10
71432,12-10-04,OLV,*11MEZ,MER,2385,0,19.00,10.40,3.02,OV  18,WA,HP,3
7144,12-10-04,OLV,*12PNO,PNN,10540,0,21.70,7.85,3.28,RPA150,WA,HP,12
7145,12-10-05,OLV,*05CHG,CHD,8105,0,23.20,8.00,3.26,XPA320,BC,MP,7
71461,12-10-05,OLV,*11CHD,CHD,24083,0,23.70,8.54,3.20,XPA150,BC,MP,23
71462,12-10-05,OLV,*11CHE,CHD,6282,0,23.70,10.30,3.20,XPA150,BC,MP,6
7147,12-10-05,OLV,*05CHK,CHD,7350,0,23.70,8.30,3.34,XPA320,BC,MP,6
7148,12-10-05,OLV,*16SMI,SEM,21825,0,24.40,8.24,3.19,RPA150,BC,MP,19
7149,12-10-05,OLV,*16SMI,SEM,12785,0,24.40,8.24,3.16,RPA150,BC,MP,11
7150,12-10-05,OLV,*08MEC,MER,335,0,25.60,7.32,3.29,OV  18,BC,HP,1
71511,12-10-05,OLV,*05CHK,CHD,21190,0,23.70,8.30,3.34,XPA320,R,MP,18
71512,12-10-05,OLV,*05CHG,CHD,21190,0,23.20,8.00,3.26,XPA320,R,MP,18
57390,12-10-09,CAL,GSFCJ,FCL,62498,1,21.70,6.30,3.58,B    2,BC,CA JUICE,0
57391,12-10-09,CAL,GSFCJ,FCL,59785,1,21.70,6.30,3.58,B    1,BC,CA JUICE,0
57392,12-10-09,CAL,GSFCJ,FCL,61400,1,21.80,6.30,3.55,B    3,RB,CA JUICE,0
7152,12-10-09,OLV,*10SBO,SBL,41410,0,21.30,8.37,3.13,XPA320,DL,MP,36
7153,12-10-09,OLV,*11CHX,CHD,40380,0,23.50,9.10,3.24,XPA150,BD,MP,36
71541,12-10-09,OSO,*19SBR,SBL,21216,0,22.80,8.29,3.20,RPA150,BL,MP,22
71542,12-10-09,OSO,*19SBQ,SBL,9644,0,21.60,8.02,3.18,RPA150,BL,MP,10
7155,12-10-09,OLV,*10SBO,SBL,37420,0,21.30,8.37,3.13,XPA320,BC,MP,36
7156,12-10-09,OLV,*16SMI,SEM,2310,0,24.40,8.24,3.16,XPA320,BL,MP,2
7157,12-10-09,OLV,*05CHG,CHD,625,0,23.20,8.00,3.26,XPA150,BC,HP,1
7158,12-10-09,OLV,*16SMI,SEM,10495,0,24.40,8.24,3.16,XPA320,BL,MP,9
71591,12-10-09,OLV,*11CHX,CHD,12936,0,23.50,9.10,3.24,XPA150,BL,MP,12
71592,12-10-09,OLV,*11CHO,CHD,16169,0,24.40,9.24,3.19,XPA150,BL,MP,15
71601,12-10-09,OSO,*19SBQ,SBL,4488,0,21.60,8.02,3.18,XPA320,R,MP,4
71602,12-10-09,OSO,*19SBE,SBL,35902,0,20.90,8.91,3.08,XPA320,R,MP,32
7162,12-10-09,OSO,*19SBE,SBL,10600,0,20.90,8.91,3.08,XPA320,BL,MP,10
71611,12-10-09,OSO,*19VIH,VIO,2655,0,26.10,8.96,3.14,XPA150,BL,HP,3
71612,12-10-09,OSO,*19VIF,VIO,885,0,25.80,8.61,3.07,XPA150,BL,HP,1
7163,12-10-10,OLV,*16SBC,SBL,39840,0,23.50,9.48,3.09,XPA320,DB,MP,36
7164,12-10-10,OLV,*16SBC,SBL,39590,0,23.50,9.48,3.09,"XPA320,RPA150,XPA150",DB,MP,36
7165,12-10-10,OLV,*16SBC,SBL,40000,0,23.50,9.48,3.09,"XPA320,RPA150",RT,MP,36
7167,12-10-10,OLV,*16SBC,SBL,19050,0,23.50,9.48,3.09,XPA150,BL,MP,18
71701,12-10-10,OLV,*01MEG,MER,33342,0,22.90,7.64,3.21,918,R,MP,32
