"","Field","Block","Planted","Variety","Acres","Lag.Phase.G.Vine","Pick.Weight.Grams","X","Year","Plants","Row.Spacing","Av.Bunch.Weight.Grams","Clust.per.Vine","Spurs.per.Block","Berries.per.Cluster","Row","Av.Berry.Weight.Grams","Av.Berry.Weight.Grams.1","Av.Bunch.Weight.Grams.1","Lag.Estimate.t","Berry.Veraison.Estimate.Kg","Bunch.Veraison.Estimate.Kg","Bunch.Veraison.Estimate.Kg.1","X2007.Actual","Percentage","Notes","Veraison.Estimate","X2008.Actual","CommentsPlanted","CommentsFlowering","CommentsVerasion","CommentsBudburst","phenologyEvent","phenologyDate"
"2489","F1","B4",1982,"Riesling",5.07,2770,NA,NA,"2008",5536,"2.7 x 1.3","91.3",44,NA,"161",24,0.8,1,143.2,33.7,39217.024,34881.2288,NA,NA,NA,NA,34.9,32.4,NA,"original flowering date was 28-Jun","original verasion date is NA","original budburst date is 8-May","X80.Veraison.Date",2008-09-02
"2490","F1","B5",1997,"Pinot Blanc",3.38,1770,NA,NA,"2008",5341,"2.1 x 1.4","94",25,NA,"225",26,0.23,1,195.4,20.8,30043.125,26090.785,NA,NA,NA,NA,26.1,28.8,"dates planted range  1997/98","original flowering date was 25-Jun","original verasion date is NA","original budburst date is 6-May","X80.Veraison.Date",2008-09-02
"2491","F1","B6",1997,"Sauvig. Blanc",1.49,1340,NA,NA,"2008",2213,"2.1 x 1.4","72",29,NA,"117",54,0.5,1,134.2,6.5,7508.709,8612.5534,NA,NA,NA,NA,8.6,5.3,NA,"original flowering date was 27-Jun","original verasion date is NA","original budburst date is 6-May","X80.Veraison.Date",2008-09-02
"2492","F1","B7",1975,"Chasselas",4.32,3760,NA,NA,"2008",2114,"3.0 x 2.1","125.3",76,NA,"202",NA,0.6,1.8,226.6,17.5,58417.4304,36406.4624,NA,NA,NA,NA,36.4,38,"dates planted range  1975/83","original flowering date was 30-Jun","original verasion date is NA","original budburst date is 9-May","X80.Veraison.Date",2008-09-02
"2493","F2","B1",1987,"Riesling",2.69,3240,NA,NA,"2008",3078,"2.7 x 1.3","130.6",44,NA,"185",14,0.8,1,158.6,21.9,25054.92,21480,NA,NA,NA,NA,21.5,5.1,NA,"original flowering date was 28-Jun","original verasion date is NA","original budburst date is 8-May","X80.Veraison.Date",2008-09-02
"2494","F2","B2",1998,"Merlot",2.79,2338,NA,NA,"2008",4500,"2.1 x 1.4","80.5",22,NA,"147",19,0.6,1,171.8,23.1,14553,17008,NA,NA,NA,NA,17,12.9,NA,"original flowering date was 25-Jun","original verasion date is NA","original budburst date is 7-May","X80.Veraison.Date",2008-09-01
"2495","F2","B3",1975,"Chasselas",1.92,4550,NA,NA,"2008",1590,"3.0 x 2.1","191",37,NA,"177",NA,1,2,269.2,15.9,20825.82,15837,NA,NA,NA,NA,15.8,19.7,"dates planted range  1975/83","original flowering date was 29-Jun","original verasion date is NA","original budburst date is 9-May","X80.Veraison.Date",2008-09-02
"2496","","",NA,"T-bar",NA,4240,NA,NA,"2008",NA,"","110.3",93,NA,"126",NA,1,2,269.2,0,0,0,NA,NA,NA,NA,0,NA,NA,"original flowering date was 29-Jun","original verasion date is NA","original budburst date is 9-May","X80.Veraison.Date",2008-09-02
"2497","F2","B4",1987,"Chardonnay",1.42,2026,NA,NA,"2008",1532,"2.7 x 1.3","62",43,NA,"140",14,0.53,1.2,158.6,6.8,11067.168,10448,NA,NA,NA,NA,10.4,15.9,NA,"original flowering date was 26-Jun","original verasion date is NA","original budburst date is 6-May","X80.Veraison.Date",2008-09-01
"2499","F2","B6",1997,"Chenin Blanc",4.04,2540,NA,NA,"2008",6500,"2.1 x 1.4","160.6",24,NA,"305",44,0.6,1,211.2,36.3,47580,32947.2,NA,NA,NA,NA,32.9,35.8,NA,"original flowering date was 28-Jun","original verasion date is NA","original budburst date is 6-May","X80.Veraison.Date",2008-09-02
"2500","F2","B7",1998,"Merlot",2.7,1750,NA,NA,"2008",4500,"2.1 x 1.4","103",23,NA,"290",95,0.4,1.2,153.8,17.3,36018,15918.3,NA,NA,NA,NA,15.9,9.9,NA,"original flowering date was 26-Jun","original verasion date is NA","original budburst date is 7-May","X80.Veraison.Date",2008-09-01
"2501","F2","B8",1998,"Merlot",0.85,1540,NA,NA,"2008",1600,"2.1 x 1.4","89",20,NA,"256",100,0.4,1,155,5.4,8192,4960,NA,NA,NA,NA,5,4,NA,"original flowering date was 26-Jun","original verasion date is NA","original budburst date is 7-May","X80.Veraison.Date",2008-09-01
"2503","F3","B1",2005,"Pinot Noir",1.79,1365,NA,NA,"2008",2895,"2.1 x 1.1","56",24,NA,"155",6,0.38,1.2,182,8.7,12923.28,12645.36,NA,NA,NA,NA,12.6,8.4,NA,"original flowering date was 23-Jun","original verasion date is NA","original budburst date is 4-May","X80.Veraison.Date",2008-09-01
"2504","F3","B2",1965,"Foch",1.09,5962,NA,NA,"2008",780,"3.1 x 2.1","75",183,NA,"134",6,0.58,1.2,133,10.2,22952.592,18984.42,NA,NA,NA,NA,19,8.4,NA,"original flowering date was 18-Jun","original verasion date is NA","original budburst date is 28-Apr","X80.Veraison.Date",2008-09-01
"2505","F3","B3",1996,"Pinot Noir",2.47,1756,NA,NA,"2008",5000,"2.0 x 1.0","84",19,NA,"172",22,0.5,1,161.8,19.3,16340,15371,NA,NA,NA,NA,15.4,13,NA,"original flowering date was 26-Jun","original verasion date is NA","original budburst date is 6-May","X80.Veraison.Date",2008-09-01
"2506","F3","B4",1996,"Chardonnay",2.57,1942,NA,NA,"2008",5000,"2.0 x 1.0","73",27,NA,"141",20,0.53,1.4,181.4,21.4,26649,24489,NA,NA,NA,NA,24.5,22.6,NA,"original flowering date was 24-Jun","original verasion date is NA","original budburst date is 3-May","X80.Veraison.Date",2008-09-01
"2507","F3","B5",1990,"Pinot Noir",0.92,3044,NA,NA,"2008",1103,"2.4 x 1.3","101",32,NA,"168",6,0.68,1.2,196.4,7.4,7115.6736,6932.1344,NA,NA,NA,NA,6.9,4.4,NA,"original flowering date was 26-Jun","original verasion date is NA","original budburst date is 6-May","X80.Veraison.Date",2008-09-01
"2508","F3","B6",1987,"Pinot Noir",0.55,3262,NA,NA,"2008",600,"2.4 x 1.3","96",35,NA,"167",8,0.6,1.2,198.6,4.3,4208.4,4170.6,NA,NA,NA,NA,4.2,2.3,NA,"original flowering date was 26-Jun","original verasion date is NA","original budburst date is 6-May","X80.Veraison.Date",2008-09-01
"2509","F3","B7",1987,"Pinot Noir",0.96,2744,NA,NA,"2008",1160,"2.4 x 1.3","80",35,NA,"148",6,0.56,1,187.4,7,6008.8,7608.44,NA,NA,NA,NA,7.6,3.9,NA,"original flowering date was 26-Jun","original verasion date is NA","original budburst date is 6-May","X80.Veraison.Date",2008-09-01
"2510","F3","B8",1975,"Pinot Noir",0.47,3732,NA,NA,"2008",631,"2.4 x 1.3","96",36,NA,"153",8,0.67,1.2,184,5.2,4170.6576,4179.744,NA,NA,NA,NA,4.2,2.2,"dates planted range  1975/90","original flowering date was 26-Jun","original verasion date is NA","original budburst date is 6-May","X80.Veraison.Date",2008-09-01
"2512","F4","B2",2005,"Pinot Noir",0.9,1780,NA,NA,"2008",1240,"2.1 x 1.1","68",33,NA,"150",9,0.34,1,186.6,4.9,6138,7635.672,NA,NA,NA,NA,7.6,4.9,NA,"original flowering date was 23-Jun","original verasion date is NA","original budburst date is 3-May","X80.Veraison.Date",2008-09-01
"2513","F4","B3",1990,"Pinot Noir",2.68,2338,NA,NA,"2008",3279,"2.4 x 1.3","79",33,NA,"152",20,0.51,1.6,221,16.9,26315.9424,23913.747,NA,NA,NA,NA,23.9,16,NA,"original flowering date was 26-Jun","original verasion date is NA","original budburst date is 6-May","X80.Veraison.Date",2008-09-01
"2514","F4","B4",1965,"Foch",0.83,12454,NA,NA,"2008",1339,"3.0 x 2.1","67",83,NA,"139",5,0.48,1.2,112.6,36.7,18537.6516,12514.0262,NA,NA,NA,NA,12.5,10.9,"dates planted range  1965/98","original flowering date was 18-Jun","original verasion date is NA","original budburst date is 28-Apr","X80.Veraison.Date",2008-09-01
"2515","F4","B5",2003,"Cab Sauvignon",2.36,1614,NA,NA,"2008",3920,"2.1 x 1.2","57",29,NA,"133",24,0.48,1.2,182.6,13.9,18143.328,20757.968,NA,NA,NA,NA,20.8,7.6,NA,"original flowering date was 25-Jun","original verasion date is NA","original budburst date is 9-May","X80.Veraison.Date",2008-09-02
"2516","F4","B6",1997,"Cab Sauvignon",1.17,1546,NA,NA,"2008",1900,"2.0 x 1.4","87.3",22,NA,"176.5",11,0.5,1.2,152,6.5,8853.24,6353.6,NA,NA,NA,NA,6.4,4.5,NA,"original flowering date was 25-Jun","original verasion date is NA","original budburst date is 9-May","X80.Veraison.Date",2008-09-02
"2517","F4","B7",2005,"Pinot Noir",0.53,2018,NA,NA,"2008",965,"2.1 x 1.1","80",23,NA,"162",6,0.5,1.2,211.4,4.3,4314.708,4692.023,NA,NA,NA,NA,4.7,2.3,NA,"original flowering date was 25-Jun","original verasion date is NA","original budburst date is 4-May","X80.Veraison.Date",2008-09-01
"2518","F4","B8",2005,"Pinot Noir",1.25,2062,NA,NA,"2008",1990,"2.1 x 1.1","79",28,NA,"182",24,0.4,1,174.8,9,10141.04,9739.856,NA,NA,NA,NA,9.7,5.1,NA,"original flowering date was 25-Jun","original verasion date is NA","original budburst date is 4-May","X80.Veraison.Date",2008-09-01
"2519","F4","B9",2005,"Pinot Noir",1.63,2010,NA,NA,"2008",2600,"2.1 x 1.1","75",29,NA,"206",39,0.37,1.2,193.2,11.5,18638.88,14567.28,NA,NA,NA,NA,14.6,6.1,NA,"original flowering date was 25-Jun","original verasion date is NA","original budburst date is 4-May","X80.Veraison.Date",2008-09-01
"2520","F4","B10",1990,"Pinot Noir",1.72,2874,NA,NA,"2008",2093,"2.4 x 1.3","83",31,NA,"160",12,0.52,1.2,202,13.2,12457.536,13106.366,NA,NA,NA,NA,13.1,10.7,NA,"original flowering date was 25-Jun","original verasion date is NA","original budburst date is 6-May","X80.Veraison.Date",2008-09-01
"2521","F4","B11",2003,"Pinot Noir",1.57,2254,NA,NA,"2008",2600,"2.1 x 1.1","84",24,NA,"169",6,0.54,0.8,175.2,12.9,8436.48,10932.48,NA,NA,NA,NA,10.9,8.8,NA,"original flowering date was 25-Jun","original verasion date is NA","original budburst date is 5-May","X80.Veraison.Date",2008-09-01
"2522","F5","B1",1997,"Chardonnay",1.8,1342,NA,NA,"2008",3000,"2.0 x 1.4","61",26,NA,"120",5,0.58,1.2,164,8.9,11232,12792,NA,NA,NA,NA,12.8,13.3,NA,"original flowering date was 25-Jun","original verasion date is NA","original budburst date is 4-May","X80.Veraison.Date",2008-09-01
"2523","F5","B2",1997,"Chardonnay",1.92,2070,NA,NA,"2008",3000,"2.0 x 1.4","91",26,NA,"114",16,0.76,1.4,184.4,13.7,12448.8,14383.2,NA,NA,NA,NA,14.4,13.1,NA,"original flowering date was 25-Jun","original verasion date is NA","original budburst date is 4-May","X80.Veraison.Date",2008-09-01
"2524","F5","B3",1997,"Chardonnay",1.43,1224,NA,NA,"2008",3000,"2.0 x 1.4","70",20,NA,"139",27,0.5,1.2,146.2,8.1,10008,8772,NA,NA,NA,NA,8.8,13.1,NA,"original flowering date was 25-Jun","original verasion date is NA","original budburst date is 4-May","X80.Veraison.Date",2008-09-01
"2525","F5","B4",1997,"Chardonnay",1.03,1576,NA,NA,"2008",1000,"2.0 x 1.4","76",29,NA,"133",34,0.54,1.2,191.2,3.5,4628.4,5544.8,NA,NA,NA,NA,5.5,4.9,NA,"original flowering date was 25-Jun","original verasion date is NA","original budburst date is 4-May","X80.Veraison.Date",2008-09-01
"2526","F5","B5",1997,"Pinot Noir",1.01,1714,NA,NA,"2008",2450,"2.0 x 1.1","72",23,NA,"116",39,0.61,1.2,204.2,9.2,7843.92,11506.67,NA,NA,NA,NA,11.5,6.1,NA,"original flowering date was 25-Jun","original verasion date is NA","original budburst date is 6-May","X80.Veraison.Date",2008-09-01
"2527","F5","B6",1997,"Pinot Noir",1.5,1800,NA,NA,"2008",3200,"2.0 x 1.1","73.3",25,NA,"118",46,0.62,1.2,172,12.7,11328,13760,NA,NA,NA,NA,13.8,7.8,NA,"original flowering date was 25-Jun","original verasion date is NA","original budburst date is 6-May","X80.Veraison.Date",2008-09-01
"2528","F5","B7",1997,"Cab Sauvignon",0.95,2203,NA,NA,"2008",1716,"2.0 x 1.4","94",24,NA,"119.3",NA,0.8,1.2,136,8.3,5895.90144,5601.024,NA,NA,NA,NA,5.6,3.8,NA,"original flowering date was 25-Jun","original verasion date is NA","original budburst date is 9-May","X80.Veraison.Date",2008-09-02
"2529","F5","B8",1994,"Gewurztraminer",0.52,2035,NA,NA,"2008",632,"2.4 x 1.3","93.6",32,NA,"159",NA,0.8,1.2,158.6,2.8,3858.7392,3207.5264,NA,NA,NA,NA,3.2,10.7,NA,"original flowering date was 28-Jun","original verasion date is NA","original budburst date is 6-May","X80.Veraison.Date",2008-09-02
"2531","F6","B1",2003,"Merlot",2.2,1250,NA,NA,"2008",4100,"2.1 x 1.1","79",23,NA,"142",35,0.6,1,158.8,11.3,13390.6,14974.84,NA,NA,NA,NA,15,15.7,NA,"original flowering date was 26-Jun","original verasion date is NA","original budburst date is 7-May","X80.Veraison.Date",2008-09-02
"2532","F6","B2",2003,"Merlot",2.2,2380,NA,NA,"2008",4163,"2.1 x 1.1","66",17,NA,"114",88,0.54,1,142.4,21.8,8067.894,10077.7904,NA,NA,NA,NA,10,NA,NA,"original flowering date was 26-Jun","original verasion date is NA","original budburst date is 7-May","X80.Veraison.Date",2008-09-02
"2616","F3","B2",1965,"Foch",1.09,3996,NA,NA,"2010",780,"3.1 x 2.1","55.5",72,NA,"100",NA,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 13-Jun","original verasion date is NA","original budburst date is 20-Apr","X80.Veraison.Date",2010-08-23
"2625","F4","B3",1990,"Pinot Noir",2.68,3812,NA,NA,"2010",3279,"2.4 x 1.3","110.5",34.5,NA,"220",NA,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 23-Jun","original verasion date is NA","original budburst date is 25-Apr","X80.Veraison.Date",2010-08-27
"2626","F4","B4",1965,"Foch",0.83,4104,NA,NA,"2010",1339,"3.0 x 2.1","43.2",95,NA,"113",NA,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dates planted range  1965/98","original flowering date was 12-Jun","original verasion date is NA","original budburst date is 20-Apr","X80.Veraison.Date",2010-08-23
"2632","F4","B10",1990,"Pinot Noir",1.72,3004,NA,NA,"2010",2093,"2.4 x 1.3","96",31.3,NA,"224",NA,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 23-Jun","original verasion date is NA","original budburst date is 25-Apr","X80.Veraison.Date",2010-08-27
"2670","F3","B2",1965,"Foch",1.09,2102,NA,NA,"2011",780,"3.1 x 2.1","51.2",41,NA,"75.3",NA,0.68,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 22-Jun","original verasion date is NA","original budburst date is 6-May","X80.Veraison.Date",2011-08-24
"2671","F3","B3",1996,"Pinot Noir",2.47,1254,NA,NA,"2011",5000,"2.0 x 1.0","89.1",14.1,NA,"128.2",NA,0.7,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 1-Jul","original verasion date is NA","original budburst date is 15-May","X80.Veraison.Date",2011-08-25
"2679","F4","B3",1990,"Pinot Noir",2.68,1238,NA,NA,"2011",3279,"2.4 x 1.3","90",13.8,NA,"106.5",NA,0.85,NA,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 1-Jul","original verasion date is NA","original budburst date is 15-May","X80.Veraison.Date",2011-08-25
"2680","F4","B4",1965,"Foch",0.83,2413,NA,NA,"2011",1339,"3.0 x 2.1","58.3",39.6,NA,"92.6",NA,0.63,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,"dates planted range  1965/98","original flowering date was 22-Jun","original verasion date is NA","original budburst date is 6-May","X80.Veraison.Date",2011-08-24
"2725","F3","B2",1965,"Foch",1.09,3059,NA,NA,"2012",780,"3.1 x 2.1","52.2",58.6,NA,"124",NA,0.42,NA,NA,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 22-Jun","original verasion date is NA","original budburst date is 29-Apr","X80.Veraison.Date",2012-08-22
"2726","F3","B3",1996,"Pinot Noir",2.47,877,NA,NA,"2012",5000,"2.0 x 1.0","51.6",17,NA,"98",NA,0.53,NA,NA,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 28-Jun","original verasion date is NA","original budburst date is 5-May","X80.Veraison.Date",2012-09-03
"2733","F4","B2",2005,"Pinot Noir",0.9,978,NA,NA,"2012",1240,"2.1 x 1.1","60",16.3,NA,"110",NA,0.55,NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 27-Jun","original verasion date is NA","original budburst date is 3-May","X80.Veraison.Date",2012-08-31
"2734","F4","B3",1990,"Pinot Noir",2.68,1534,NA,NA,"2012",3279,"2.4 x 1.3","66.7",23,NA,"104",NA,0.64,NA,NA,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 27-Jun","original verasion date is NA","original budburst date is 4-May","X80.Veraison.Date",2012-08-27
"2735","F4","B4",1965,"Foch",0.83,1857,NA,NA,"2012",1339,"3.0 x 2.1","43.5",42.7,NA,"104",NA,0.42,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,NA,"dates planted range  1965/98","original flowering date was 22-Jun","original verasion date is NA","original budburst date is 29-Apr","X80.Veraison.Date",2012-08-22
"2738","F4","B7",2005,"Pinot Noir",0.53,1803,NA,NA,"2012",965,"2.1 x 1.1","100.7",17.9,NA,"133",NA,0.76,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 27-Jun","original verasion date is NA","original budburst date is 3-May","X80.Veraison.Date",2012-08-31
"2741","F4","B10",1990,"Pinot Noir",1.72,1997,NA,NA,"2012",2093,"2.4 x 1.3","106.8",18.7,NA,"132",NA,0.81,NA,NA,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 27-Jun","original verasion date is NA","original budburst date is 4-May","X80.Veraison.Date",2012-08-26
"2742","F4","B11",2003,"Pinot Noir",1.57,1148,NA,NA,"2012",2600,"2.1 x 1.1","81",14,NA,"127",NA,0.64,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 27-Jun","original verasion date is NA","original budburst date is 2-May","X80.Veraison.Date",2012-08-29
"2747","F5","B5",1997,"Pinot Noir",1.01,1746,NA,NA,"2012",2450,"2.0 x 1.1","100.95",17.3,NA,"133",NA,0.76,NA,NA,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 27-Jun","original verasion date is NA","original budburst date is 6-May","X80.Veraison.Date",2012-08-31
"2748","F5","B6",1997,"Pinot Noir",1.5,1610,NA,NA,"2012",3200,"2.0 x 1.1","105.95",15.2,NA,"139",NA,0.76,NA,NA,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 27-Jun","original verasion date is NA","original budburst date is 6-May","X80.Veraison.Date",2012-08-31
"2754","Osy","",1978,"Old Foch",9.8,NA,NA,NA,"2012",4600,"3 x 1.6",NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 8-Jun","original verasion date is NA","original budburst date is 28-Apr","X80.Veraison.Date",2012-08-12
"2755","","",2006,"Young Foch",2.96,NA,NA,NA,"2012",2926,"3 x 1.4",NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 08-Jun","original verasion date is NA","original budburst date is 28-Apr","X80.Veraison.Date",2012-08-12
"2806","F1","B1",1994,"Cabernet Franc",0.28,850,NA,NA,"2002",375,"2.4 x 1.2","47.2g",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun 20-21","original verasion date is Aug 21-22","original budburst date is May 03-04","Budburst",2002-05-03
"2807","F1","B1",1994,"Merlot",0.91,1475,NA,NA,"2002",1515,"2.4 x 1.2","47.5g",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dates planted range  1994/97","original flowering date was Jun 20-21","original verasion date is Aug 22-23","original budburst date is May 03-04","Budburst",2002-05-03
"2808","F1","B2",1996,"Chardonnay",1.98,1350,NA,NA,"2002",4000,"2.0 x 1.0","30g",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun-22","original verasion date is ","original budburst date is Apr-29","Budburst",2002-04-29
"2809","F1","B3",1982,"Optima",4.48,1400,NA,NA,"2002",4833,"2.7 x 1.3","25.4g",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun 24-25","original verasion date is ","original budburst date is Apr30May1","Budburst",2002-04-30
"2810","F1","B4",1982,"Riesling",5.13,1925,NA,NA,"2002",5536,"2.7 x 1.3","31.5g",61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun 24-25","original verasion date is ","original budburst date is May 05-06","Budburst",2002-05-05
"2811","F1","B5",1997,"Pinot Blanc",4.5,1150,NA,NA,"2002",6191,"2.1 x 1.4","39.6g",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dates planted range  1997/98","original flowering date was Jun 20-21","original verasion date is ","original budburst date is Apr-30","Budburst",2002-04-30
"2812","F1","B6",1997,"Sauvignon Blanc",1.82,875,NA,NA,"2002",2500,"2.1 x 1.4","23.0g",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun-23","original verasion date is ","original budburst date is Apr-30","Budburst",2002-04-30
"2813","F1","B7",1975,"Chasselas",2.86,5325,NA,NA,"2002",2114,"3.0 x 2.1","75g",71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dates planted range  1975/83","original flowering date was Jun 24-25","original verasion date is ","original budburst date is May 02-04","Budburst",2002-05-02
"2815","F2","B1",1987,"Riesling",2.86,1800,NA,NA,"2002",3078,"2.7 x 1.3","31.5g",57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun 24-25","original verasion date is ","original budburst date is May 05-06","Budburst",2002-05-05
"2816","F2","B2",1998,"Merlot",3.27,1000,NA,NA,"2002",4500,"2.1 x 1.4","43.5g",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun-21-22","original verasion date is Aug 22-23","original budburst date is May 02-04","Budburst",2002-05-02
"2817","F2","B3",1975,"Chasselas",2.45,3225,NA,NA,"2002",1590,"3.0 x 2.1","44.1g",73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dates planted range  1975/83","original flowering date was Jun 24-25","original verasion date is ","original budburst date is May 02-04","Budburst",2002-05-02
"2819","F2","B4",1987,"Chardonnay",1.42,2050,NA,NA,"2002",1532,"2.7 x 1.3","29.5g",69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun-21","original verasion date is ","original budburst date is May 01-02","Budburst",2002-05-01
"2820","F2","B5",1993,"Chardonnay",0.48,2250,NA,NA,"2002",800,"2.4 x 1.2","33.5g",67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun-21","original verasion date is ","original budburst date is May 01-02","Budburst",2002-05-01
"2821","F2","B6",1997,"Chenin Blanc",4.72,1375,NA,NA,"2002",6500,"2.1 x 1.4","41.6g",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun 22-23","original verasion date is ","original budburst date is Apr-29","Budburst",2002-04-29
"2822","F2","B7",1998,"Merlot",3.27,1050,NA,NA,"2002",4500,"2.1 x 1.4","41.6g",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun 22-23","original verasion date is Aug 22-23","original budburst date is May 02-04","Budburst",2002-05-02
"2823","F2","B8",1998,"Merlot",1.16,875,NA,NA,"2002",1600,"2.1 x 1.4","43.7",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun 22-23","original verasion date is Aug 22-23","original budburst date is May 02-04","Budburst",2002-05-02
"2824","F2","B9",1998,"Gamay Noir",0.91,1850,NA,NA,"2002",1257,"2.1 x 1.4","47.4g",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun 20-21","original verasion date is Aug 22-23","original budburst date is Apr-30","Budburst",2002-04-30
"2825","F3","B1",19975,"Chenin Blanc",1.93,2100,NA,NA,"2002",1373,"3.0 x 2.1","41.1g",51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dates planted range  19975/97","original flowering date was Jun 22-23","original verasion date is ","original budburst date is Apr-29","Budburst",2002-04-29
"2826","F3","B2",1965,"Foch",1.25,2525,NA,NA,"2002",780,"3.1 x 2.1","19.1g",132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun 13-14","original verasion date is Aug 05-06","original budburst date is Apr 28-29","Budburst",2002-04-28
"2827","F3","B3",1996,"Pinot Noir",2.47,1275,NA,NA,"2002",5000,"2.0 x 1.0","34.4g",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun 22-23","original verasion date is Aug 18-19","original budburst date is May 02-03","Budburst",2002-05-02
"2828","F3","B4",1996,"Chardonnay",2.47,975,NA,NA,"2002",5000,"2.0 x 1.0","28.6g",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun-22","original verasion date is ","original budburst date is Apr-29","Budburst",2002-04-29
"2829","F3","B5",1990,"Pinot Noir",0.91,1550,NA,NA,"2002",1103,"2.4 x 1.3","37.8g",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun 22-23","original verasion date is Aug 21-22","original budburst date is May 02-03","Budburst",2002-05-02
"2830","F3","B6",1987,"Pinot Noir",0.5,1125,NA,NA,"2002",600,"2.4 x 1.3","27.4g",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun 22-23","original verasion date is Aug 21-22","original budburst date is May 02-03","Budburst",2002-05-02
"2831","F3","B7",1987,"Pinot Noir",0.96,1700,NA,NA,"2002",1160,"2.4 x 1.3","38.6g",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun 22-23","original verasion date is Aug 21-22","original budburst date is May 02-03","Budburst",2002-05-02
