"","Field","Block","Planted","Variety","Acres","Lag.Phase.G.Vine","Pick.Weight.Grams","X","Year","Plants","Row.Spacing","Av.Bunch.Weight.Grams","Clust.per.Vine","Spurs.per.Block","Berries.per.Cluster","Row","Av.Berry.Weight.Grams","Av.Berry.Weight.Grams.1","Av.Bunch.Weight.Grams.1","Lag.Estimate.t","Berry.Veraison.Estimate.Kg","Bunch.Veraison.Estimate.Kg","Bunch.Veraison.Estimate.Kg.1","X2007.Actual","Percentage","Notes","Veraison.Estimate","X2008.Actual","CommentsPlanted","CommentsFlowering","CommentsVerasion","CommentsBudburst","phenologyEvent","phenologyDate"
"765","F4","B3",1990,"Pinot Noir",2.71,1525,NA,NA,"2002",3279,"2.4 x 1.3","43.5g",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun 22-23","original verasion date is Aug 18-19","original budburst date is May 02-03","Lag.Phase.Date",2002-07-25
"766","F4","B4",1965,"Foch",1.6,6225,NA,NA,"2002",1339,"3.0 x 2.1","26.6g",234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dates planted range  1965/98","original flowering date was Jun 13-14","original verasion date is Aug 05-06","original budburst date is Apr 28-29","Lag.Phase.Date",2002-07-25
"767","F4","B5",1997,"Foch",1.83,5850,NA,NA,"2002",1515,"3.0 x 1.2","28.8g",203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun 13-14","original verasion date is Aug 05-06","original budburst date is Apr 28-29","Lag.Phase.Date",2002-07-25
"768","F4","B6",1997,"Cab Sauvignon",1.38,650,NA,NA,"2002",1900,"2.0 x 1.4","32.5g",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun-23","original verasion date is Aug 25-26","original budburst date is May 04-05","Lag.Phase.Date",2002-07-24
"769","F4","B7",1993,"Gamay Noir",0.46,2500,NA,NA,"2002",500,"3.0 x 1.2","45.4g",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun 22-23","original verasion date is Aug 23-24","original budburst date is May 01-02","Lag.Phase.Date",2002-07-23
"770","F4","B8",1993,"Gamay Noir",0.46,3075,NA,NA,"2002",500,"3.0 x 1.2","52.1",59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun 22-23","original verasion date is Aug 23-24","original budburst date is May 01-02","Lag.Phase.Date",2002-07-23
"771","F4","B9",1993,"Gamay Noir",2.22,2850,NA,NA,"2002",2418,"3.0 x 1.2","54.8g",52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun 22-23","original verasion date is Aug 23-24","original budburst date is May 01-02","Lag.Phase.Date",2002-07-23
"772","F4","B10",1990,"Pinot Noir",1.73,1450,NA,NA,"2002",2093,"2.4 x 1.3","39.1g",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun 22-23","original verasion date is Aug 18-19","original budburst date is May 02-03","Lag.Phase.Date",2002-07-22
"773","F5","B1",1997,"Chardonnay",2.18,1250,NA,NA,"2002",3000,"2.0 x 1.4","29.0g",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun-22","original verasion date is ","original budburst date is May 04-05","Lag.Phase.Date",2002-07-22
"774","F5","B2",1997,"Chardonnay",2.18,1625,NA,NA,"2002",3000,"2.0 x 1.4","36.1g",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun-22","original verasion date is ","original budburst date is May 04-05","Lag.Phase.Date",2002-07-22
