Business Unit,Vineyard,Block,Variety,Pheno Stage,Date
Oliver North,MH04,C 04CFC (Retired Apr. 1St  2015),Cabernet Franc,3. Woolly Bud,12-04-16
Oliver North,MH11,N 11CFN (Retired Apr. 1St  2015),Cabernet Franc,3. Woolly Bud,12-04-16
Oliver North,SF16,G 16CFG (Retired Apr. 1St  2015),Cabernet Franc,3. Woolly Bud,12-04-17
Oliver North,MH11,C 11CHC (Retired Apr. 1St  2015),Chardonnay,3. Woolly Bud,12-04-17
Oliver North,MH11,O 11CHO (Retired Apr. 1St  2015),Chardonnay,2. Budswell,12-04-18
Oliver North,MH11,X 11CHX (Retired Apr. 1St  2015),Chardonnay,2. Budswell,12-04-18
Oliver North,MH11,D 11CHD (Retired Apr. 1St  2015),Chardonnay,3. Woolly Bud,12-04-18
Oliver North,MH01,F 01CFF (Retired Apr. 1St  2015),Cabernet Franc,3. Woolly Bud,12-04-23
Oliver North,MH11,C 11CHC (Retired Apr. 1St  2015),Chardonnay,3. Woolly Bud,12-04-23
Oliver North,MH11,D 11CHD (Retired Apr. 1St  2015),Chardonnay,3. Woolly Bud,12-04-23
Oliver North,MH11,E 11CHE (Retired Apr. 1St  2015),Chardonnay,3. Woolly Bud,12-04-23
Oliver North,MH11,L 11CFL (Retired Apr. 1St  2015),Cabernet Franc,3. Woolly Bud,12-04-23
Oliver North,MH11,M 11CFM (Retired Apr. 1St  2015),Cabernet Franc,3. Woolly Bud,12-04-23
Oliver North,MH11,N 11CFN (Retired Apr. 1St  2015),Cabernet Franc,3. Woolly Bud,12-04-23
Oliver North,MH11,O 11CHO (Retired Apr. 1St  2015),Chardonnay,3. Woolly Bud,12-04-23
Oliver North,MH11,X 11CHX (Retired Apr. 1St  2015),Chardonnay,3. Woolly Bud,12-04-23
Oliver North,MH01,I 01CFI (Retired Apr. 1St  2015),Cabernet Franc,3. Woolly Bud,12-04-23
Oliver North,SF10,A 10CHA (Retired Apr. 1St  2015),Chardonnay,3. Woolly Bud,12-04-23
Oliver North,MH04,C 04CFC (Retired Apr. 1St  2015),Cabernet Franc,3. Woolly Bud,12-04-23
Oliver North,SF10,L 10SZL (Retired Apr 2  2013),Syrah,3. Woolly Bud,12-04-23
Oliver North,SF10,P 10CHP,Chardonnay,3. Woolly Bud,12-04-23
Oliver North,SF16,G 16CFG (Retired Apr. 1St  2015),Cabernet Franc,3. Woolly Bud,12-04-23
Oliver North,SF16,L 16SZL,Shiraz,3. Woolly Bud,12-04-24
Oliver North,SF10,G 10PNG,Pinot Noir,3. Woolly Bud,12-04-24
Oliver North,SF12,A 12PNA,Pinot Noir,3. Woolly Bud,12-04-24
Oliver North,SF10,O 10SBO,Sauvignon Blanc,3. Woolly Bud,12-04-24
Oliver North,SF10,A 10CHA (Retired Apr. 1St  2015),Chardonnay,3. Woolly Bud,12-04-24
Oliver North,SF10,L 10SZL (Retired Apr 2  2013),Syrah,3. Woolly Bud,12-04-24
Oliver North,SF16,K 16SZK (Retired Apr. 1St  2015),Shiraz,3. Woolly Bud,12-04-24
Oliver North,SF16,A 16MUA,Muscat Ottonel,3. Woolly Bud,12-04-25
Oliver North,SF10,Q 10CHQ (Retired Apr. 1St  2015),Chardonnay,3. Woolly Bud,12-04-25
Oliver North,SF10,C 10PGC,Pinot Gris,3. Woolly Bud,12-04-25
Oliver North,SF10,B 10SBB (Retired Apr. 1St  2015) ,Sauvignon Blanc,3. Woolly Bud,12-04-25
Oliver North,SF10,AA 10VIAA,Viognier,3. Woolly Bud,12-04-25
Oliver North,SF10,R 10PGR (Retired Mar. 16  2016),Pinot Gris,3. Woolly Bud,12-04-25
Oliver North,SF10,D 10PGD,Pinot Gris,3. Woolly Bud,12-04-25
Oliver North,SF16,B 16SBB,Sauvignon Blanc,3. Woolly Bud,12-04-25
Oliver North,SF10,AA 10VIAA,Viognier,3. Woolly Bud,12-04-27
Oliver North,SF10,Y 10SZY,Shiraz,3. Woolly Bud,12-04-27
Oliver North,SF10,R 10PGR (Retired Mar. 16  2016),Pinot Gris,3. Woolly Bud,12-04-27
Oliver North,SF10,AB 10VIAB,Viognier,3. Woolly Bud,12-04-27
Oliver North,SF10,V 10PGV,Pinot Gris,3. Woolly Bud,12-04-27
Oliver North,SF16,K 16SZK (Retired Apr. 1St  2015),Shiraz,3. Woolly Bud,12-04-27
Oliver North,SF10,O 10SBO,Sauvignon Blanc,3. Woolly Bud,12-04-27
