Business Unit,Vineyard,Block,Variety,Pheno Stage,Date
Oliver North,MH01,D 01MED (Retired Apr. 1St  2015),Merlot,35. Veraison,13-08-20
Oliver North,MH09,D 09PGD (Retired Apr. 1St  2015),Pinot Gris,35. Veraison,13-08-20
Oliver North,MH09,D 09PGD (Retired Apr. 1St  2015),Pinot Gris,35. Veraison,13-08-20
Oliver North,MH09,D 09PGD (Retired Apr. 1St  2015),Pinot Gris,35. Veraison,13-08-20
Oliver North,MH09,D 09PGD (Retired Apr. 1St  2015),Pinot Gris,35. Veraison,13-08-20
Oliver North,MH09,D 09PGD (Retired Apr. 1St  2015),Pinot Gris,35. Veraison,13-08-20
Oliver North,MH09,D 09PGD (Retired Apr. 1St  2015),Pinot Gris,35. Veraison,13-08-20
Oliver North,MH09,D 09PGD (Retired Apr. 1St  2015),Pinot Gris,35. Veraison,13-08-20
Oliver North,MH09,D 09PGD (Retired Apr. 1St  2015),Pinot Gris,35. Veraison,13-08-20
Oliver North,MH01,D 01MED (Retired Apr. 1St  2015),Merlot,35. Veraison,13-08-20
Oliver North,MH01,D 01MED (Retired Apr. 1St  2015),Merlot,35. Veraison,13-08-20
Oliver North,MH09,E 09SZE (Retired Apr. 1St  2015),Shiraz,35. Veraison,13-08-20
Oliver North,MH01,D 01MED (Retired Apr. 1St  2015),Merlot,35. Veraison,13-08-20
Oliver North,MH01,D 01MED (Retired Apr. 1St  2015),Merlot,35. Veraison,13-08-20
Oliver North,MH01,D 01MED (Retired Apr. 1St  2015),Merlot,35. Veraison,13-08-20
Oliver North,MH09,E 09SZE (Retired Apr. 1St  2015),Shiraz,35. Veraison,13-08-20
Oliver North,MH01,D 01MED (Retired Apr. 1St  2015),Merlot,35. Veraison,13-08-20
Oliver North,MH01,D 01MED (Retired Apr. 1St  2015),Merlot,35. Veraison,13-08-20
Oliver North,MH09,E 09SZE (Retired Apr. 1St  2015),Shiraz,35. Veraison,13-08-20
Oliver North,MH09,E 09SZE (Retired Apr. 1St  2015),Shiraz,35. Veraison,13-08-20
Oliver North,MH09,E 09SZE (Retired Apr. 1St  2015),Shiraz,35. Veraison,13-08-20
Oliver North,MH09,E 09SZE (Retired Apr. 1St  2015),Shiraz,35. Veraison,13-08-20
Oliver North,MH09,E 09SZE (Retired Apr. 1St  2015),Shiraz,35. Veraison,13-08-20
Oliver North,MH09,E 09SZE (Retired Apr. 1St  2015),Shiraz,35. Veraison,13-08-20
Oliver North,MH09,E 09SZE (Retired Apr. 1St  2015),Shiraz,35. Veraison,13-08-20
Oliver North,MH09,E 09SZE (Retired Apr. 1St  2015),Shiraz,35. Veraison,13-08-20
Oliver North,MH09,E 09SZE (Retired Apr. 1St  2015),Shiraz,35. Veraison,13-08-20
Oliver North,MH09,E 09SZE (Retired Apr. 1St  2015),Shiraz,35. Veraison,13-08-20
Oliver North,SF16,K 16SZK (Retired Apr. 1St  2015),Shiraz,36. Berries Int. Brix,13-08-21
Oliver North,SF18,C 18RSC,Riesling,15. 8 Leaves separated,14-02-06
Oliver North,SF18,F 18RSF (Retired Apr. 1St  2015),Riesling,15. 8 Leaves separated,14-02-06
Oliver North,SF18,G 18MEG,Merlot,17. 12 Leaves separated,14-03-06
Oliver North,SF10,O 10SBO,Sauvignon Blanc,2. Budswell,14-04-21
Oliver North,SF10,Q 10CHQ (Retired Apr. 1St  2015),Chardonnay,4. Budburst,14-04-23
Oliver North,SF12,M 12PBM,Pinot Blanc,3. Woolly Bud,14-04-28
Oliver North,MH17,E 17SBE (Retired Apr. 1St  2015),Sauvignon Blanc,3. Woolly Bud,14-04-29
Oliver North,MH11,O 11CHO (Retired Apr. 1St  2015),Chardonnay,4. Budburst,14-04-29
Oliver North,SF10,X 10PBX,Pinot Blanc,3. Woolly Bud,14-04-30
Oliver North,SF10,W 10PBW,Pinot Blanc,3. Woolly Bud,14-05-01
Oliver North,SF10,L 10SZL,Shiraz,3. Woolly Bud,14-05-01
Oliver North,SF16,K 16SZK (Retired Apr. 1St  2015),Shiraz,4. Budburst,14-05-01
Oliver North,SF10,M 10SZM,Shiraz,3. Woolly Bud,14-05-01
Oliver North,SF16,L 16SZL,Shiraz,4. Budburst,14-05-01
Oliver North,SF10,O 10SBO,Sauvignon Blanc,3. Woolly Bud,14-05-01
Oliver North,SF10,Q 10CHQ (Retired Apr. 1St  2015),Chardonnay,3. Woolly Bud,14-05-01
Oliver North,SF10,P 10CHP,Chardonnay,3. Woolly Bud,14-05-01
Oliver North,SF10,N 10CAN (Retired Mar.16  2016),Cabernet Sauvignon,3. Woolly Bud,14-05-01
Oliver North,SF16,J 16CAJ,Cabernet Sauvignon,4. Budburst,14-05-02
Oliver North,SF12,K 12SZK,Shiraz,3. Woolly Bud,14-05-02
Oliver North,SF12,L 12CAL,Cabernet Sauvignon,3. Woolly Bud,14-05-02
Oliver North,MH17,B 17MEB (Retired Apr. 1St  2015),Merlot,3. Woolly Bud,14-05-05
Oliver North,MH17,C 17MEC (Retired Apr. 1St  2015),Merlot,3. Woolly Bud,14-05-05
Oliver North,MH17,D 17CAD (Retired Apr. 1St  2015),Cabernet Sauvignon,2. Budswell,14-05-05
Oliver North,MH11,W 11MEW (Retired Apr. 1St  2015),Merlot,4. Budburst,14-05-05
Oliver North,MH11,Z 11MEZ (Retired Apr. 1St  2015),Merlot,3. Woolly Bud,14-05-05
Oliver North,SF10,B 10SBB (Retired Apr. 1St  2015) ,Sauvignon Blanc,4. Budburst,14-05-05
Oliver North,MH17,A 17CAA (Retired Apr. 1St  2015),Cabernet Sauvignon,2. Budswell,14-05-05
Oliver North,MH01,H 01MEH (Retired Apr. 1St  2015),Merlot,3. Woolly Bud,14-05-06
Oliver North,SF16,F 16SMF,Semillon,4. Budburst,14-05-07
Oliver North,SF16,F 16SMF,Semillon,4. Budburst,14-05-08
Oliver North,SF18,G 18MEG,Merlot,4. Budburst,14-05-08
Oliver North,MH11,A 11CAA (Retired Apr. 1St  2015),Cabernet Sauvignon,9. 2-3 Leaves separated,14-05-09
Oliver North,MH09,E 09SZE (Retired Apr. 1St  2015),Shiraz,9. 2-3 Leaves separated,14-05-09
Oliver North,MH09,C 09MEC (Retired Apr. 1St  2015),Merlot,9. 2-3 Leaves separated,14-05-09
Oliver North,MH11,W 11MEW (Retired Apr. 1St  2015),Merlot,9. 2-3 Leaves separated,14-05-12
Oliver North,MH11,K 11GAK (Retired Apr. 1St  2015),Gamay Noir,12. Shoots 10cm,14-05-12
Oliver North,MH11,Z 11MEZ (Retired Apr. 1St  2015),Merlot,9. 2-3 Leaves separated,14-05-12
Oliver North,SF18,A 18PGA,Pinot Gris,16. 10 Leaves separated,14-06-02
Oliver North,SF18,B 18PGB (Retired Apr. 1St  2015),Pinot Gris,16. 10 Leaves separated,14-06-02
Oliver North,SF18,I 18MEI (Retired Apr. 1St  2015),Merlot,17. 12 Leaves separated,14-06-03
Oliver North,SF18,H 18MEH,Merlot,17. 12 Leaves separated,14-06-03
Oliver North,SF18,E 18PGE,Pinot Gris,16. 10 Leaves separated,14-06-03
Oliver North,SF18,G 18MEG,Merlot,17. 12 Leaves separated,14-06-03
Oliver North,MH09,E 09SZE (Retired Apr. 1St  2015),Shiraz,15. 8 Leaves separated,14-06-04
Oliver North,MH01,H 01MEH (Retired Apr. 1St  2015),Merlot,16. 10 Leaves separated,14-06-04
Oliver North,MH09,F 09PVF (Retired Apr. 1St  2015),Petit Verdot,15. 8 Leaves separated,14-06-04
Oliver North,MH01,I 01CFI (Retired Apr. 1St  2015),Cabernet Franc,18. 14 Leaves separated,14-06-04
Oliver North,MH01,F 01CFF (Retired Apr. 1St  2015),Cabernet Franc,18. 14 Leaves separated,14-06-04
Oliver North,MH01,G 01MEG (Retired Apr. 1St  2015),Merlot,15. 8 Leaves separated,14-06-04
Oliver North,MH11,X 11CHX (Retired Apr. 1St  2015),Chardonnay,23. Full Bloom  50% Cap Fall,14-06-09
Oliver North,MH17,A 17CAA (Retired Apr. 1St  2015),Cabernet Sauvignon,21. 30% Cap Fall,14-06-09
Oliver North,MH17,E 17SBE (Retired Apr. 1St  2015),Sauvignon Blanc,21. 30% Cap Fall,14-06-09
Oliver North,MH11,S 11PBS (Retired Apr. 1St  2015),Pinot Blanc,23. Full Bloom  50% Cap Fall,14-06-09
Oliver North,MH11,S 11PBS (Retired Apr. 1St  2015),Pinot Blanc,23. Full Bloom  50% Cap Fall,14-06-09
Oliver North,MH11,R 11CAR (Retired Apr. 1St  2015),Cabernet Sauvignon,21. 30% Cap Fall,14-06-09
Oliver North,MH11,Q 11CAQ (Retired Apr. 1St  2015),Cabernet Sauvignon,21. 30% Cap Fall,14-06-09
Oliver North,MH11,P 11CAP (Retired Apr. 1St  2015),Cabernet Sauvignon,21. 30% Cap Fall,14-06-09
Oliver North,MH11,P 11CAP (Retired Apr. 1St  2015),Cabernet Sauvignon,21. 30% Cap Fall,14-06-09
Oliver North,MH11,O 11CHO (Retired Apr. 1St  2015),Chardonnay,23. Full Bloom  50% Cap Fall,14-06-09
Oliver North,MH11,M 11CFM (Retired Apr. 1St  2015),Cabernet Franc,23. Full Bloom  50% Cap Fall,14-06-09
Oliver North,MH11,G 11PNG (Retired Apr. 1St  2015),Pinot Noir,23. Full Bloom  50% Cap Fall,14-06-09
Oliver North,MH11,F 11PNF (Retired Apr. 1St  2015),Pinot Noir,21. 30% Cap Fall,14-06-09
Oliver North,MH11,X 11CHX (Retired Apr. 1St  2015),Chardonnay,23. Full Bloom  50% Cap Fall,14-06-09
Oliver North,MH11,B 11CAB (Retired Apr. 1St  2015),Cabernet Sauvignon,23. Full Bloom  50% Cap Fall,14-06-10
Oliver North,MH11,K 11GAK (Retired Apr. 1St  2015),Gamay Noir,21. 30% Cap Fall,14-06-10
Oliver North,MH11,V 11MEV (Retired Apr. 1St  2015),Merlot,23. Full Bloom  50% Cap Fall,14-06-10
Oliver North,MH11,A 11CAA (Retired Apr. 1St  2015),Cabernet Sauvignon,23. Full Bloom  50% Cap Fall,14-06-10
Oliver North,MH11,K 11GAK (Retired Apr. 1St  2015),Gamay Noir,21. 30% Cap Fall,14-06-10
Oliver North,MH27,D 27ALD (Retired Mar. 26Th  2015),Alicante Bouschet,20. 10% Cap Fall,14-06-11
Oliver North,MH27,D 27ALD (Retired Mar. 26Th  2015),Alicante Bouschet,20. 10% Cap Fall,14-06-11
Oliver North,MH27,E 27CAE (Retired Mar. 26Th  2015),Cabernet Sauvignon,21. 30% Cap Fall,14-06-11
Oliver North,MH27,E 27CAE (Retired Mar. 26Th  2015),Cabernet Sauvignon,21. 30% Cap Fall,14-06-11
Oliver North,MH27,H 27CAH (Retired Mar. 26Th  2015),Cabernet Sauvignon,21. 30% Cap Fall,14-06-11
Oliver North,MH27,H 27CAH (Retired Mar. 26Th  2015),Cabernet Sauvignon,21. 30% Cap Fall,14-06-11
Oliver North,MH27,C 27CFC (Retired Mar. 26Th  2015),Cabernet Franc,23. Full Bloom  50% Cap Fall,14-06-11
Oliver North,MH27,C 27CFC (Retired Mar. 26Th  2015),Cabernet Franc,23. Full Bloom  50% Cap Fall,14-06-11
Oliver North,MH27,B 27CHB (Retired Mar. 26Th  2015),Chardonnay,23. Full Bloom  50% Cap Fall,14-06-12
Oliver North,MH27,B 27CHB (Retired Mar. 26Th  2015),Chardonnay,23. Full Bloom  50% Cap Fall,14-06-12
Oliver North,MH27,F 27MEF (Retired Mar. 26Th  2015),Merlot,20. 10% Cap Fall,14-06-12
Oliver North,MH27,A 27CAA (Retired Mar. 26Th  2015),Cabernet Sauvignon,21. 30% Cap Fall,14-06-12
Oliver North,MH11,W 11MEW (Retired Apr. 1St  2015),Merlot,23. Full Bloom  50% Cap Fall,14-06-12
Oliver North,MH27,G 27GAG (Retired Mar. 26Th  2015),Gamay Noir,21. 30% Cap Fall,14-06-12
Oliver North,MH26,C 26CHC (Retired Nov. 30  2014),Chardonnay,23. Full Bloom  50% Cap Fall,14-06-12
Oliver North,MH26,C 26CHC (Retired Nov. 30  2014),Chardonnay,23. Full Bloom  50% Cap Fall,14-06-12
Oliver North,MH26,E 26CHE (Retired Nov. 30  2014),Chardonnay,23. Full Bloom  50% Cap Fall,14-06-12
Oliver North,MH26,E 26CHE (Retired Nov. 30  2014),Chardonnay,23. Full Bloom  50% Cap Fall,14-06-12
Oliver North,MH27,F 27MEF (Retired Mar. 26Th  2015),Merlot,20. 10% Cap Fall,14-06-12
Oliver North,MH27,G 27GAG (Retired Mar. 26Th  2015),Gamay Noir,21. 30% Cap Fall,14-06-12
Oliver North,MH27,G 27CFG (Retired Mar. 26Th  2015),Cabernet Franc,21. 30% Cap Fall,14-06-12
Oliver North,MH04,C 04CFC (Retired Apr. 1St  2015),Cabernet Franc,15. 8 Leaves separated,14-06-12
Oliver North,MH27,G 27CFG (Retired Mar. 26Th  2015),Cabernet Franc,21. 30% Cap Fall,14-06-12
Oliver North,MH27,A 27CAA (Retired Mar. 26Th  2015),Cabernet Sauvignon,21. 30% Cap Fall,14-06-12
Oliver North,MH01,E 01MEE (Retired Apr. 1St  2015),Merlot,23. Full Bloom  50% Cap Fall,14-06-17
Oliver North,MH01,D 01MED (Retired Apr. 1St  2015),Merlot,25. 80% Caps Off,14-06-17
Oliver North,MH09,C 09MEC (Retired Apr. 1St  2015),Merlot,25. 80% Caps Off,14-06-17
Oliver North,MH09,D 09PGD (Retired Apr. 1St  2015),Pinot Gris,9. 2-3 Leaves separated,14-06-17
Oliver North,MH11,B 11CAB (Retired Apr. 1St  2015),Cabernet Sauvignon,26. Cap Fall Complete,14-06-19
Oliver North,MH11,E 11CHE (Retired Apr. 1St  2015),Chardonnay,26. Cap Fall Complete,14-06-19
Oliver North,MH11,I 11PNI (Retired Apr. 1St  2015),Pinot Noir,27. Setting,14-06-19
Oliver North,MH11,A 11CAA (Retired Apr. 1St  2015),Cabernet Sauvignon,26. Cap Fall Complete,14-06-19
Oliver North,SF16,A 16MUA,Muscat Ottonel,16. 10 Leaves separated,16-05-25
Oliver North,SF10,AA 10CHAA (Retired 02/04/17),Chardonnay,23. Full Bloom  50% Cap Fall,16-05-25
Oliver North,SF16,KA 16SZKA (Retired 01/04/18),Shiraz,23. Full Bloom  50% Cap Fall,16-05-27
Oliver North,SF16,G 16CFG,Cabernet Franc,23. Full Bloom  50% Cap Fall,16-05-27
Oliver North,SF16,J 16CAJ,Cabernet Sauvignon,23. Full Bloom  50% Cap Fall,16-05-27
Oliver North,SF06,C 06SZC (Retired 28/07/2017),Shiraz,3. Woolly Bud,17-04-28
Oliver North,SF06,J 06SZJ (Retired 28/07/2017),Shiraz,3. Woolly Bud,17-04-28
Oliver North,SF06,A 06SZA (Retired 28/07/2017),Shiraz,3. Woolly Bud,17-04-28
Oliver North,SF12,EA 12CFEA,Cabernet Franc,3. Woolly Bud,17-04-28
Oliver North,SF10,AB 10CHAB (Retired 01/04/18),Chardonnay,3. Woolly Bud,17-04-28
Oliver North,SF10,AA 10CHAA (Retired 01/04/18),Chardonnay,3. Woolly Bud,17-04-28
Oliver North,SF06,B 06SZB (Retired 28/07/2017),Shiraz,3. Woolly Bud,17-04-28
Oliver North,SF16,L 16SZL,Shiraz,3. Woolly Bud,17-05-01
Oliver North,SF16,G 16CFG,Cabernet Franc,3. Woolly Bud,17-05-02
Oliver North,SF16,J 16CAJ,Cabernet Sauvignon,3. Woolly Bud,17-05-02
Oliver North,SF16,F 16SMF,Semillon,3. Woolly Bud,17-05-02
Oliver North,SF16,A 16MUA,Muscat Ottonel,3. Woolly Bud,17-05-02
Oliver North,SF16,D 16RSD,Riesling,3. Woolly Bud,17-05-02
Oliver North,SF16,E 16SME,Semillon,3. Woolly Bud,17-05-02
Oliver North,SF10,V 10PGV,Pinot Gris,3. Woolly Bud,17-05-02
Oliver North,SF16,M 16PGM,Pinot Gris,3. Woolly Bud,17-05-02
Oliver North,SF10,C 10PGC,Pinot Gris,3. Woolly Bud,17-05-03
Oliver North,SF10,C 10PGC,Pinot Gris,3. Woolly Bud,17-05-03
Oliver North,SF10,B 10SBB,Sauvignon Blanc,3. Woolly Bud,17-05-03
Oliver North,SF10,D 10PGD,Pinot Gris,3. Woolly Bud,17-05-03
Oliver North,SF10,D 10PGD,Pinot Gris,3. Woolly Bud,17-05-03
Oliver North,SF10,LA 10CHLA (Retired 01/04/18),Chardonnay,3. Woolly Bud,17-05-04
Oliver North,SF10,M 10SZM,Shiraz,3. Woolly Bud,17-05-04
Oliver North,SF10,L 10SZL,Shiraz,3. Woolly Bud,17-05-04
Oliver North,SF10,K 10CAK,Cabernet Sauvignon,3. Woolly Bud,17-05-04
Oliver North,SF10,K 10CAK,Cabernet Sauvignon,3. Woolly Bud,17-05-04
Oliver North,SF10,J 10MEJ,Merlot,3. Woolly Bud,17-05-04
Oliver North,SF10,I 10PNI,Pinot Noir,3. Woolly Bud,17-05-04
Oliver North,SF10,H 10PNH,Pinot Noir,3. Woolly Bud,17-05-04
Oliver North,SF10,G 10PNG,Pinot Noir,3. Woolly Bud,17-05-04
Oliver North,SF10,F 10RSF,Riesling,3. Woolly Bud,17-05-04
Oliver North,SF10,E 10CAE,Cabernet Sauvignon,3. Woolly Bud,17-05-04
Oliver North,SF18,H 18MEH,Merlot,3. Woolly Bud,17-05-05
Oliver North,SF16,CD 16SBCD,Sauvignon Blanc,9. 2-3 Leaves separated,17-05-05
Oliver North,SF16,CA 16SBCA,Sauvignon Blanc,9. 2-3 Leaves separated,17-05-05
Oliver North,SF16,I 16SMI,Semillon,3. Woolly Bud,17-05-05
Oliver North,SF18,I 18MEI,Merlot,3. Woolly Bud,17-05-05
Oliver North,SF18,J 18MEJ,Merlot,3. Woolly Bud,17-05-05
Oliver North,SF10,R 10PGR,Pinot Gris,3. Woolly Bud,17-05-05
Oliver North,SF18,E 18PGE,Pinot Gris,3. Woolly Bud,17-05-05
Oliver North,SF10,QB 10CHQB (Retired 01/04/18),Chardonnay,3. Woolly Bud,17-05-05
Oliver North,SF06,P 06CAP,Cabernet Sauvignon,3. Woolly Bud,17-05-05
Oliver North,SF10,S 10PBS,Pinot Blanc,3. Woolly Bud,17-05-05
Oliver North,SF16,CC 16SBCC,Sauvignon Blanc,9. 2-3 Leaves separated,17-05-05
Oliver North,SF16,H 16MEH,Merlot,3. Woolly Bud,17-05-05
Oliver North,SF10,O 10SBO,Sauvignon Blanc,3. Woolly Bud,17-05-05
Oliver North,SF10,U 10RSU,Riesling,3. Woolly Bud,17-05-05
Oliver North,SF12,J 12SBJ,Sauvignon Blanc,4. Budburst,17-05-05
Oliver North,SF10,Y 10SZY,Shiraz,3. Woolly Bud,17-05-05
Oliver North,SF12,H 12PNH,Pinot Noir,3. Woolly Bud,17-05-05
Oliver North,SF16,CE 16SBCE,Sauvignon Blanc,9. 2-3 Leaves separated,17-05-05
Oliver North,SF18,F 18RSF,Riesling,3. Woolly Bud,17-05-05
Oliver North,SF18,B 18PGB,Pinot Gris,3. Woolly Bud,17-05-05
Oliver North,SF12,D 12CAD,Cabernet Sauvignon,4. Budburst,17-05-05
Oliver North,SF06,M 06CAM,Cabernet Sauvignon,4. Budburst,17-05-05
Oliver North,SF16,CB 16SBCB,Sauvignon Blanc,9. 2-3 Leaves separated,17-05-05
Oliver North,SF10,AB 10VIAB,Viognier,4. Budburst,17-05-09
Oliver North,SF06,K 06CFK,Cabernet Franc,4. Budburst,17-05-09
Oliver North,SF10,AA 10VIAA,Viognier,4. Budburst,17-05-09
Oliver North,SF10,NB 10CANB,Cabernet Sauvignon,3. Woolly Bud,17-05-10
Oliver North,SF10,NA 10CANA,Cabernet Sauvignon,3. Woolly Bud,17-05-10
Oliver North,SF12,F 12RSF,Riesling,4. Budburst,17-05-10
Oliver North,SF12,P 12RSP,Riesling,4. Budburst,17-05-10
Oliver North,SF12,O 12PNO,Pinot Noir,4. Budburst,17-05-10
Oliver North,SF10,C 10PGC,Pinot Gris,4. Budburst,18-04-29
Oliver North,SF10,D 10PGD,Pinot Gris,4. Budburst,18-04-29
Oliver North,SF18,B 18PGB,Pinot Gris,3. Woolly Bud,18-05-22
Oliver North,SF16,KA 16SZKA,Shiraz,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF06,A 06SZA,Shiraz,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF06,A 06SZA,Shiraz,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF06,B 06SZB,Shiraz,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF06,B 06SZB,Shiraz,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF06,C 06SZC,Shiraz,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF06,C 06SZC,Shiraz,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF06,D 06CAD,Cabernet Sauvignon,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF06,D 06CAD,Cabernet Sauvignon,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF06,E 06VIE,Viognier,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF06,E 06VIE,Viognier,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF06,F 06PGF,Pinot Gris,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF06,F 06PGF,Pinot Gris,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF06,G 06CHG,Chardonnay,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF06,G 06CHG,Chardonnay,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF06,H 06PGH,Pinot Gris,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF06,H 06PGH,Pinot Gris,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF06,I 06PGI,Pinot Gris,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF06,I 06PGI,Pinot Gris,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF06,J 06PGJ,Pinot Gris,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF06,J 06PGJ,Pinot Gris,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF06,K 06CFK,Cabernet Franc,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF06,K 06CFK,Cabernet Franc,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF06,L 06CAL,Cabernet Sauvignon,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF06,L 06CAL,Cabernet Sauvignon,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF06,M 06CAM,Cabernet Sauvignon,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF06,M 06CAM,Cabernet Sauvignon,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF06,N 06SAN,Sangiovese,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF06,N 06SAN,Sangiovese,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF06,O 06BAO,Barbera,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF06,O 06BAO,Barbera,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF06,P 06CAP,Cabernet Sauvignon,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF06,P 06CAP,Cabernet Sauvignon,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF10,AA 10CHAA,Chardonnay,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF10,AA 10VIAA,Viognier,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF10,AB 10CHAB,Chardonnay,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF10,AB 10VIAB,Viognier,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF10,B 10SBB,Sauvignon Blanc,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF10,C 10PGC,Pinot Gris,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF10,D 10PGD,Pinot Gris,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF10,E 10CAE,Cabernet Sauvignon,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF10,F 10RSF,Riesling,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF10,G 10PNG,Pinot Noir,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF10,H 10PNH,Pinot Noir,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF10,I 10PNI,Pinot Noir,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF10,J 10MEJ,Merlot,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF10,K 10CAK,Cabernet Sauvignon,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF10,L 10CHL,Chardonnay,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF10,L 10SZL,Shiraz,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF10,M 10SZM,Shiraz,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF10,NA 10CANA,Cabernet Sauvignon,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF10,NB 10CANB,Cabernet Sauvignon,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF10,O 10SBO,Sauvignon Blanc,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF10,P 10CHP,Chardonnay,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF10,QA 10CHQA,Chardonnay,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF10,QB 10CHQB,Chardonnay,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF10,R 10PGR,Pinot Gris,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF10,S 10PBS,Pinot Blanc,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF10,T 10RST,Riesling,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF10,U 10RSU,Riesling,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF10,V 10PGV,Pinot Gris,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF10,W 10PBW,Pinot Blanc,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF10,X 10PBX,Pinot Blanc,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF10,Y 10SZY,Shiraz,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF16,A 16MUA,Muscat Ottonel,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF16,B 16SBB,Sauvignon Blanc,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF16,CA 16SBCA,Sauvignon Blanc,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF16,CB 16SBCB,Sauvignon Blanc,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF16,CC 16SBCC,Sauvignon Blanc,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF16,CD 16SBCD,Sauvignon Blanc,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF16,CE 16SBCE,Sauvignon Blanc,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF16,D 16RSD,Riesling,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF16,E 16SME,Semillon,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF16,F 16SMF,Semillon,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF16,G 16CFG,Cabernet Franc,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF16,H 16MEH,Merlot,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF16,I 16SMI,Semillon,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF16,J 16CAJ,Cabernet Sauvignon,19. 16 Leaves Begin Flowering,18-05-27
Oliver North,SF16,KB 16SZKB,Shiraz,19. 16 Leaves Begin Flowering,18-05-27
