Bullpine,C,Merlot,04-Jun,13-Jun,30-May,02-Jun,,10-Jun,22-Jun,26-Jun,24-Jun,12-Jun,18-Jun,10-Jun,12-Jun,04-Jun,08-Jun,14-Jun,20-Jun,17-Jun,12-Jun,
Bullpine,D,Merlot,04-Jun,13-Jun,28-May,01-Jun,,10-Jun,21-Jun,27-Jun,20-Jun,11-Jun,17-Jun,08-Jun,10-Jun,03-Jun,07-Jun,14-Jun,20-Jun,17-Jun,11-Jun,
Bullpine,E,Shiraz,08-Jun,14-Jun,01-Jun,05-Jun,,11-Jun,23-Jun,28-Jun,25-Jun,11-Jun,19-Jun,12-Jun,14-Jun,09-Jun,01-Jul,,20-Jun,15-Jun,15-Jun,
Bullpine,F,Merlot,04-Jun,12-Jun,26-May,02-Jun,,10-Jun,22-Jun,21-Jun,21-Jun,12-Jun,19-Jun,10-Jun,12-Jun,04-Jun,08-Jun,14-Jun,20-Jun,17-Jun,11-Jun,
Bullpine,G,Merlot,06-Jun,12-Jun,29-May,01-Jun,,11-Jun,21-Jun,27-Jun,20-Jun,11-Jun,17-Jun,08-Jun,10-Jun,04-Jun,08-Jun,14-Jun,20-Jun,15-Jun,11-Jun,
Bullpine,H,Shiraz,08-Jun,15-Jun,03-Jun,03-Jun,,11-Jun,23-Jun,27-Jun,25-Jun,11-Jun,19-Jun,12-Jun,14-Jun,06-Jun,15-Jun,,19-Jun,16-Jun,14-Jun,
Bullpine,I,Viognier,05-Jun,13-Jun,28-May,04-Jun,,07-Jun,19-Jun,25-Jun,26-Jun,13-Jun,19-Jun,10-Jun,12-Jun,03-Jun,07-Jun,16-Jun,19-Jun,13-Jun,12-Jun,
Bullpine,J,Merlot,05-Jun,11-Jun,24-May,01-Jun,,,16-Jun,26-Jun,19-Jun,08-Jun,14-Jun,06-Jun,08-Jun,01-Jun,04-Jun,12-Jun,20-Jun,16-Jun,10-Jun,
Bullpine,K,Merlot,05-Jun,12-Jun,28-May,31-May,,10-Jun,19-Jun,27-Jun,20-Jun,10-Jun,18-Jun,08-Jun,10-Jun,03-Jun,07-Jun,14-Jun,20-Jun,16-Jun,11-Jun,
Bullpine,L,Shiraz,08-Jun,15-Jun,03-Jun,02-Jun,,11-Jun,22-Jun,29-Jun,25-Jun,12-Jun,19-Jun,12-Jun,14-Jun,09-Jun,01-Jul,,20-Jun,16-Jun,15-Jun,
Bullpine,M,Cabernet Sauvignon,01-Jun,,,,,07-Jun,15-Jun,26-Jun,19-Jun,08-Jun,14-Jun,07-Jun,09-Jun,01-Jun,04-Jun,12-Jun,20-Jun,16-Jun,11-Jun,
Bullpine,N,Pinot Noir,05-Jun,12-Jun,24-May,30-May,,06-Jun,17-Jun,21-Jun,20-Jun,09-Jun,16-Jun,08-Jun,10-Jun,02-Jun,04-Jun,,15-Jun,17-Jun,09-Jun,
Bullpine,O,Merlot,06-Jun,13-Jun,30-May,03-Jun,,10-Jun,21-Jun,28-Jun,20-Jun,11-Jun,19-Jun,10-Jun,12-Jun,06-Jun,11-Jun,14-Jun,15-Jun,17-Jun,12-Jun,
Bullpine,P,Cabernet Sauvignon,01-Jun,10-Jun,28-May,02-Jun,,07-Jun,21-Jun,26-Jun,29-Jun,11-Jun,17-Jun,10-Jun,12-Jun,03-Jun,07-Jun,15-Jun,15-Jun,20-Jun,11-Jun,
Bullpine,R,Cabernet Sauvignon,05-Jun,10-Jun,30-May,01-Jun,,,15-Jun,25-Jun,19-Jun,08-Jun,14-Jun,06-Jun,08-Jun,31-May,04-Jun,12-Jun,15-Jun,17-Jun,09-Jun,
Bullpine,S,Cabernet Sauvignon,05-Jun,09-Jun,31-May,04-Jun,,07-Jun,26-Jun,25-Jun,24-Jun,11-Jun,18-Jun,11-Jun,13-Jun,06-Jun,11-Jun,15-Jun,15-Jun,21-Jun,13-Jun,
Bullpine,T,Cabernet Sauvignon,05-Jun,10-Jun,27-May,02-Jun,,06-Jun,16-Jun,25-Jun,22-Jun,09-Jun,17-Jun,10-Jun,12-Jun,02-Jun,11-Jun,15-Jun,15-Jun,19-Jun,11-Jun,
Bullpine,U,Merlot,05-Jun,11-Jun,28-May,03-Jun,,10-Jun,17-Jun,21-Jun,20-Jun,10-Jun,19-Jun,08-Jun,10-Jun,03-Jun,08-Jun,14-Jun,15-Jun,18-Jun,11-Jun,
Bullpine,V,Cabernet Sauvignon,01-Jun,09-Jun,30-May,03-Jun,,07-Jun,19-Jun,26-Jun,24-Jun,11-Jun,18-Jun,11-Jun,13-Jun,03-Jun,11-Jun,15-Jun,19-Jun,21-Jun,12-Jun,
Bullpine,W,Cabernet Sauvignon,05-Jun,09-Jun,27-May,02-Jun,,06-Jun,17-Jun,22-Jun,22-Jun,09-Jun,17-Jun,10-Jun,12-Jun,02-Jun,10-Jun,15-Jun,16-Jun,20-Jun,11-Jun,
Bullpine,X,Pinot Noir,05-Jun,11-Jun,28-May,31-May,,06-Jun,17-Jun,20-Jun,19-Jun,09-Jun,16-Jun,08-Jun,10-Jun,01-Jun,06-Jun,,17-Jun,17-Jun,09-Jun,
Bullpine,Y,Sauvignon Blanc,,10-Jun,31-May,05-Jun,,10-Jun,18-Jun,28-Jun,27-Jun,10-Jun,16-Jun,10-Jun,12-Jun,02-Jun,07-Jun,13-Jun,17-Jun,14-Jun,12-Jun,
Bullpine,Z1,Merlot,06-Jun,12-Jun,30-May,01-Jun,,10-Jun,21-Jun,24-Jun,22-Jun,12-Jun,18-Jun,10-Jun,12-Jun,04-Jun,08-Jun,14-Jun,17-Jun,18-Jun,12-Jun,
Bullpine,Z2,Shiraz,05-Jun,12-Jun,25-May,01-Jun,,10-Jun,22-Jun,,,,16-Jun,08-Jun,10-Jun,03-Jun,07-Jun,,17-Jun,15-Jun,09-Jun,
Dark_Horse,A,Tempranillo,08-Jun,17-Jun,01-Jun,04-Jun,,14-Jun,26-Jun,01-Jul,26-Jun,,,,,,,,,,15-Jun,
Dark_Horse,B,Chardonnay,30-May,12-Jun,25-May,26-May,,07-Jun,19-Jun,26-Jun,20-Jun,,,,,,,,,,09-Jun,
Dark_Horse,C,Cabernet Sauvignon,02-Jun,16-Jun,30-May,02-Jun,,09-Jun,23-Jun,28-Jun,27-Jun,,,,,,,,,,13-Jun,
Dark_Horse,D,Cabernet Franc,30-May,13-Jun,01-Jun,31-May,,09-Jun,18-Jun,26-Jun,25-Jun,,,,,,,,,,11-Jun,
Dark_Horse,E,Chardonnay,30-May,12-Jun,25-May,26-May,,08-Jun,19-Jun,26-Jun,20-Jun,,,,,,,,,,09-Jun,
Dark_Horse,F,Merlot,03-Jun,17-Jun,29-May,30-May,,13-Jun,22-Jun,28-Jun,23-Jun,,,,,,,,,,12-Jun,
Dark_Horse,G,Pinot Noir,31-May,13-Jun,27-May,27-May,,08-Jun,22-Jun,27-Jun,21-Jun,,,,,,,,,,10-Jun,
Dark_Horse,H,Riesling,,17-Jun,28-May,31-May,,09-Jun,24-Jun,27-Jun,26-Jun,,,,,,,,,,14-Jun,
Dark_Horse,I,Pinot Blanc,04-Jun,17-Jun,28-May,01-Jun,,09-Jun,22-Jun,26-Jun,22-Jun,,,,,,,,,,12-Jun,
Dark_Horse,J,Merlot,03-Jun,16-Jun,31-May,30-May,,10-Jun,23-Jun,28-Jun,23-Jun,,,,,,,,,,12-Jun,
Dark_Horse,K,Merlot,03-Jun,16-Jun,31-May,28-May,,12-Jun,23-Jun,27-Jun,24-Jun,,,,,,,,,,12-Jun,
Dark_Horse,L,Muscat,09-Jun,20-Jun,01-Jun,01-Jun,,15-Jun,24-Jun,01-Jul,28-Jun,,,,,,,,,,16-Jun,
Dark_Horse,M,Marsanne,,,02-Jun,06-Jun,,14-Jun,25-Jun,03-Jul,28-Jun,,,,,,,,,,18-Jun,
Dark_Horse,N,Chardonnay,30-May,12-Jun,,25-May,,09-Jun,18-Jun,26-Jun,27-Jun,,,,,,,,,,12-Jun,
Driver,1,Merlot,03-Jun,12-Jun,23-May,29-May,,07-Jun,22-Jun,19-Jun,18-Jun,06-Jun,15-Jun,,,,,,,,09-Jun,
Driver,2,Merlot,03-Jun,10-Jun,23-May,29-May,,07-Jun,21-Jun,20-Jun,16-Jun,06-Jun,15-Jun,,,,,,,,08-Jun,
Driver,3,Shiraz,03-Jun,14-Jun,24-May,30-May,,11-Jun,23-Jun,25-Jun,16-Jun,,,,,,,,,,10-Jun,
Fairbrother,1,Merlot,30-May,13-Jun,28-May,29-May,,12-Jun,23-Jun,27-Jun,24-Jun,,,,,,,,,,11-Jun,
Fairbrother,2,Merlot,30-May,13-Jun,28-May,29-May,,10-Jun,23-Jun,27-Jun,23-Jun,,,,,,,,,,11-Jun,
Fairbrother ,3,Merlot,30-May,13-Jun,28-May,28-May,,12-Jun,23-Jun,26-Jun,21-Jun,,,,,,,,,,11-Jun,
HMV,A,Fallow,,,31-May,,18-Jun,17-Jun,29-Jun,05-Jul,25-Jun,15-Jun,22-Jun,15-Jun,20-Jun,20-Jun,19-Jun,16-Jun,25-Jun,,19-Jun,
HMV,B,Fallow,,,30-May,03-Jun,,16-Jun,28-Jun,03-Jul,28-Jun,15-Jun,23-Jun,13-Jun,20-Jun,20-Jun,,,,18-Jun,18-Jun,
HMV,D,Fallow,,,31-May,,19-Jun,15-Jun,29-Jun,03-Jul,25-Jun,15-Jun,22-Jun,18-Jun,20-Jun,20-Jun,18-Jun,16-Jun,27-Jun,,19-Jun,
HMV,E,Fallow,,,30-May,03-Jun,12-Jun,14-Jun,28-Jun,03-Jul,24-Jun,15-Jun,21-Jun,18-Jun,20-Jun,20-Jun,11-Jun,16-Jun,27-Jun,22-Jun,17-Jun,
HMV,F1,Chardonnay,09-Jun,,02-Jun,03-Jun,16-Jun,14-Jun,26-Jun,02-Jul,24-Jun,12-Jun,23-Jun,17-Jun,20-Jun,,,,,,16-Jun,
HMV,F2,Chardonnay,04-Jun,,30-Jun,02-Jun,14-Jun,13-Jun,26-Jun,02-Jul,24-Jun,12-Jun,18-Jun,17-Jun,20-Jun,20-Jun,14-Jun,18-Jun,25-Jun,24-Jun,18-Jun,
HMV,G1,Gewurtztraminer,11-Jun,,04-Jun,,20-Jun,18-Jun,28-Jun,03-Jul,28-Jun,15-Jun,24-Jun,20-Jun,20-Jun,,,,,,20-Jun,
HMV,G2,Gewurtztraminer,11-Jun,,04-Jun,08-Jun,19-Jun,18-Jun,28-Jun,03-Jul,28-Jun,15-Jun,21-Jun,20-Jun,20-Jun,20-Jun,18-Jun,16-Jun,25-Jun,24-Jun,19-Jun,
HMV,H,Chardonnay,09-Jun,,31-May,03-Jun,16-Jun,16-Jun,29-Jun,02-Jul,25-Jun,12-Jun,23-Jun,17-Jun,20-Jun,20-Jun,18-Jun,18-Jun,,22-Jun,17-Jun,
HMV,J,Chardonnay,09-Jun,,31-May,03-Jun,14-Jun,16-Jun,29-Jun,02-Jul,25-Jun,12-Jun,21-Jun,17-Jun,20-Jun,20-Jun,18-Jun,18-Jun,27-Jun,,17-Jun,
HMV,K,Gewurtztraminer,11-Jun,,04-Jun,,20-Jun,19-Jun,30-Jun,06-Jul,28-Jun,17-Jun,28-Jun,19-Jun,25-Jun,25-Jun,20-Jun,20-Jun,27-Jun,,21-Jun,
